X : -46.0, Y : -57.69999694824219
X : -45.95930480957031, Y : -57.69950485229492
X : -45.85353469848633, Y : -57.69987487792969
X : -45.71792984008789, Y : -57.70060729980469
X : -45.55282211303711, Y : -57.700599670410156
X : -45.358943939208984, Y : -57.70290756225586
X : -45.14419174194336, Y : -57.706443786621094
X : -44.923118591308594, Y : -57.70979690551758
X : -44.67407989501953, Y : -57.71046447753906
X : -44.42427444458008, Y : -57.70986557006836
X : -44.14691162109375, Y : -57.709320068359375
X : -43.86402130126953, Y : -57.70664978027344
X : -43.55386734008789, Y : -57.70475387573242
X : -43.25550842285156, Y : -57.702205657958984
X : -42.93244934082031, Y : -57.70252990722656
X : -42.59278869628906, Y : -57.70514678955078
X : -42.24100112915039, Y : -57.70576477050781
X : -41.86872863769531, Y : -57.707298278808594
X : -41.470550537109375, Y : -57.71460723876953
X : -41.069705963134766, Y : -57.71945571899414
X : -40.69257354736328, Y : -57.72434997558594
X : -40.29712677001953, Y : -57.72894287109375
X : -39.8707160949707, Y : -57.73054885864258
X : -39.432125091552734, Y : -57.73020935058594
X : -38.999053955078125, Y : -57.72739028930664
X : -38.58250045776367, Y : -57.7248420715332
X : -38.134971618652344, Y : -57.71964645385742
X : -37.69786834716797, Y : -57.7120246887207
X : -37.24851608276367, Y : -57.70342254638672
X : -36.812923431396484, Y : -57.69477081298828
X : -36.378273010253906, Y : -57.68605422973633
X : -35.921775817871094, Y : -57.68077850341797
X : -35.440147399902344, Y : -57.67346954345703
X : -34.9897575378418, Y : -57.66395568847656
X : -34.528385162353516, Y : -57.65313720703125
X : -34.06424331665039, Y : -57.64289474487305
X : -33.578697204589844, Y : -57.63321304321289
X : -33.10134506225586, Y : -57.62767028808594
X : -32.64466094970703, Y : -57.625545501708984
X : -32.165748596191406, Y : -57.62498092651367
X : -31.695125579833984, Y : -57.624183654785156
X : -31.20255470275879, Y : -57.62253952026367
X : -30.72091293334961, Y : -57.62062072753906
X : -30.214202880859375, Y : -57.61960220336914
X : -29.68958854675293, Y : -57.61358642578125
