X : -31.0, Y : -57.69999694824219
X : -30.47076988220215, Y : -57.71157455444336
X : -29.889781951904297, Y : -57.72439193725586
X : -29.320404052734375, Y : -57.72129440307617
X : -28.74862289428711, Y : -57.72396469116211
X : -28.132877349853516, Y : -57.725521087646484
X : -27.57598114013672, Y : -57.72671890258789
X : -26.99173927307129, Y : -57.72189712524414
X : -26.410247802734375, Y : -57.72078323364258
X : -25.81793212890625, Y : -57.71881103515625
X : -25.315792083740234, Y : -57.71689987182617
X : -24.660072326660156, Y : -57.714481353759766
X : -24.141653060913086, Y : -57.71233367919922
X : -23.509864807128906, Y : -57.70780563354492
X : -22.899120330810547, Y : -57.70803451538086
X : -22.30033302307129, Y : -57.703495025634766
X : -21.64596176147461, Y : -57.69810485839844
X : -20.995447158813477, Y : -57.693695068359375
X : -20.326269149780273, Y : -57.688377380371094
X : -19.824979782104492, Y : -57.68555450439453
X : -19.146169662475586, Y : -57.67972946166992
X : -18.483341217041016, Y : -57.67435073852539
X : -17.78346061706543, Y : -57.66905212402344
X : -17.14021110534668, Y : -57.66297912597656
X : -16.467763900756836, Y : -57.656898498535156
X : -15.826335906982422, Y : -57.65144729614258
X : -15.325953483581543, Y : -57.6467170715332
X : -14.80544662475586, Y : -57.64189147949219
X : -14.150410652160645, Y : -57.63600158691406
X : -13.532848358154297, Y : -57.63047409057617
X : -12.875297546386719, Y : -57.62394714355469
X : -12.241546630859375, Y : -57.61811447143555
X : -11.578988075256348, Y : -57.61094284057617
X : -10.93179702758789, Y : -57.60469436645508
X : -10.291696548461914, Y : -57.5982551574707
X : -9.626120567321777, Y : -57.59164047241211
X : -8.969555854797363, Y : -57.58491897583008
X : -8.354681015014648, Y : -57.57867431640625
X : -7.7208571434021, Y : -57.57194137573242
X : -7.0708842277526855, Y : -57.56352233886719
X : -6.446355819702148, Y : -57.55555725097656
X : -5.797003746032715, Y : -57.54764938354492
X : -5.159679889678955, Y : -57.539344787597656
X : -4.49595832824707, Y : -57.53086853027344
X : -3.840287685394287, Y : -57.52267074584961
X : -3.1852798461914062, Y : -57.51387023925781
X : -2.6758291721343994, Y : -57.50739669799805
X : -2.0481772422790527, Y : -57.5001220703125
X : -1.395262360572815, Y : -57.49366760253906
X : -0.7497396469116211, Y : -57.48604965209961
X : -0.09751433879137039, Y : -57.479183197021484
X : 0.5603174567222595, Y : -57.472171783447266
X : 1.19204580783844, Y : -57.46516036987305
X : 1.8435842990875244, Y : -57.45848083496094
X : 2.4404959678649902, Y : -57.45193862915039
X : 2.9415907859802246, Y : -57.44720458984375
X : 3.5725009441375732, Y : -57.44581985473633
X : 4.212382793426514, Y : -57.441200256347656
X : 4.836460590362549, Y : -57.43788528442383
X : 5.46395206451416, Y : -57.43458557128906
X : 6.111490726470947, Y : -57.43135070800781
X : 6.785292148590088, Y : -57.42805480957031
X : 7.417932033538818, Y : -57.424896240234375
X : 8.061294555664062, Y : -57.42197036743164
X : 8.683770179748535, Y : -57.420814514160156
X : 9.329303741455078, Y : -57.419281005859375
X : 9.980694770812988, Y : -57.41747283935547
X : 10.62881851196289, Y : -57.41619873046875
X : 11.273350715637207, Y : -57.41471862792969
X : 11.894180297851562, Y : -57.41358947753906
X : 12.396550178527832, Y : -57.41257858276367
X : 13.019083023071289, Y : -57.41128158569336
X : 13.64199161529541, Y : -57.41126251220703
X : 14.265275955200195, Y : -57.41044235229492
X : 14.881361961364746, Y : -57.409847259521484
X : 15.383883476257324, Y : -57.409671783447266
X : 16.028888702392578, Y : -57.40900802612305
X : 16.670602798461914, Y : -57.408782958984375
X : 17.172380447387695, Y : -57.40852355957031
X : 17.817895889282227, Y : -57.40792465209961
X : 18.324626922607422, Y : -57.40791702270508
X : 18.95533561706543, Y : -57.407718658447266
X : 19.587820053100586, Y : -57.4075813293457
X : 20.228755950927734, Y : -57.40766143798828
X : 20.73603057861328, Y : -57.407405853271484
X : 21.392192840576172, Y : -57.40766906738281
X : 22.040035247802734, Y : -57.407718658447266
X : 22.671127319335938, Y : -57.40745162963867
X : 23.18819236755371, Y : -57.40768051147461
X : 23.840463638305664, Y : -57.40782928466797
X : 24.481082916259766, Y : -57.408050537109375
X : 25.13387107849121, Y : -57.408138275146484
X : 25.764333724975586, Y : -57.408363342285156
X : 26.41460609436035, Y : -57.40848159790039
X : 27.067216873168945, Y : -57.408607482910156
X : 27.70735740661621, Y : -57.408935546875
X : 28.20766830444336, Y : -57.40900421142578
X : 28.847848892211914, Y : -57.40914535522461
X : 29.497406005859375, Y : -57.40931701660156
X : 30.150686264038086, Y : -57.40948486328125
X : 30.80685043334961, Y : -57.4096565246582
X : 31.439910888671875, Y : -57.40981674194336
X : 32.11651611328125, Y : -57.40998840332031
X : 32.75226593017578, Y : -57.41016387939453
X : 33.39942932128906, Y : -57.41032409667969
X : 33.90174102783203, Y : -57.410457611083984
X : 34.54532241821289, Y : -57.410614013671875
X : 35.17579650878906, Y : -57.41079330444336
X : 35.79243469238281, Y : -57.41096878051758
X : 36.43421936035156, Y : -57.41114044189453
X : 37.0706787109375, Y : -57.41150665283203
X : 37.71201705932617, Y : -57.41170120239258
X : 38.3603630065918, Y : -57.41224670410156
X : 38.86508560180664, Y : -57.412235260009766
X : 39.367584228515625, Y : -57.41239929199219
X : 39.99116134643555, Y : -57.41264343261719
X : 40.628387451171875, Y : -57.41287612915039
X : 41.297298431396484, Y : -57.41316604614258
X : 41.9493293762207, Y : -57.41353988647461
X : 42.610252380371094, Y : -57.41404342651367
X : 43.25888442993164, Y : -57.41440200805664
X : 43.896244049072266, Y : -57.41485595703125
X : 44.406272888183594, Y : -57.41550064086914
X : 44.93653106689453, Y : -57.416526794433594
X : 45.59686279296875, Y : -57.41734313964844
X : 46.116790771484375, Y : -57.41780471801758
X : 46.757625579833984, Y : -57.41826629638672
X : 47.25789260864258, Y : -57.41852951049805
X : 47.894710540771484, Y : -57.41865921020508
X : 48.40777587890625, Y : -57.418983459472656
X : 49.04362869262695, Y : -57.419193267822266
X : 49.69874572753906, Y : -57.419559478759766
X : 50.21510314941406, Y : -57.41950225830078
X : 50.857337951660156, Y : -57.41968536376953
X : 51.51671600341797, Y : -57.41984558105469
X : 52.15089797973633, Y : -57.420047760009766
X : 52.77828598022461, Y : -57.420257568359375
X : 53.41901779174805, Y : -57.42045593261719
X : 53.96730422973633, Y : -57.42061233520508
X : 54.5208625793457, Y : -57.42059326171875
X : 55.17696762084961, Y : -57.42071533203125
X : 55.83464050292969, Y : -57.420867919921875
X : 56.35094451904297, Y : -57.42107391357422
X : 57.00847625732422, Y : -57.42108917236328
X : 57.63754653930664, Y : -57.42139434814453
X : 58.28163528442383, Y : -57.42160415649414
X : 58.91650390625, Y : -57.41471481323242
X : 59.556800842285156, Y : -57.41193771362305
X : 60.1826286315918, Y : -57.408485412597656
X : 60.84314727783203, Y : -57.404422760009766
X : 61.47989273071289, Y : -57.40062713623047
X : 62.142181396484375, Y : -57.39617919921875
X : 62.79543685913086, Y : -57.39131546020508
X : 63.43192672729492, Y : -57.38063049316406
X : 63.9373664855957, Y : -57.35374069213867
X : 64.5794677734375, Y : -57.32197570800781
X : 65.24268341064453, Y : -57.28540802001953
X : 65.76170349121094, Y : -57.253684997558594
X : 66.41087341308594, Y : -57.21253967285156
X : 67.03364562988281, Y : -57.17081832885742
X : 67.68603515625, Y : -57.12530517578125
X : 68.3138427734375, Y : -57.060325622558594
X : 68.81560516357422, Y : -56.98936080932617
X : 69.4239273071289, Y : -56.90346908569336
X : 70.04566192626953, Y : -56.807762145996094
X : 70.69188690185547, Y : -56.70261001586914
X : 71.30339813232422, Y : -56.59968948364258
X : 71.91749572753906, Y : -56.49226379394531
X : 72.54630279541016, Y : -56.36739730834961
