X : -31.0, Y : -57.69999694824219
X : -30.99997901916504, Y : -57.69999694824219
X : -30.949790954589844, Y : -57.70064163208008
X : -30.831605911254883, Y : -57.70214080810547
X : -30.673152923583984, Y : -57.704071044921875
X : -30.46829605102539, Y : -57.70619583129883
X : -30.24455451965332, Y : -57.708309173583984
X : -29.991657257080078, Y : -57.7105598449707
X : -29.705291748046875, Y : -57.71272659301758
X : -29.409746170043945, Y : -57.71474838256836
X : -29.08304214477539, Y : -57.71617889404297
X : -28.746849060058594, Y : -57.7169075012207
X : -28.400590896606445, Y : -57.71742248535156
X : -28.03342628479004, Y : -57.717674255371094
X : -27.652633666992188, Y : -57.71781539916992
X : -27.28023910522461, Y : -57.71769332885742
X : -26.89431381225586, Y : -57.71725845336914
X : -26.509157180786133, Y : -57.71674346923828
X : -26.10511016845703, Y : -57.716033935546875
X : -25.70250129699707, Y : -57.715087890625
X : -25.281538009643555, Y : -57.71403503417969
X : -24.876678466796875, Y : -57.71306610107422
X : -24.482492446899414, Y : -57.711971282958984
X : -24.080623626708984, Y : -57.71075439453125
X : -23.672801971435547, Y : -57.70829391479492
X : -23.270599365234375, Y : -57.707889556884766
X : -22.87689208984375, Y : -57.70526885986328
X : -22.46142578125, Y : -57.70213317871094
X : -22.044443130493164, Y : -57.69935989379883
X : -21.62670135498047, Y : -57.69666290283203
X : -21.218791961669922, Y : -57.69392013549805
X : -20.808767318725586, Y : -57.6911506652832
X : -20.376188278198242, Y : -57.687889099121094
X : -19.98386001586914, Y : -57.685848236083984
X : -19.5745792388916, Y : -57.68235778808594
X : -19.175704956054688, Y : -57.67905044555664
X : -18.770401000976562, Y : -57.675716400146484
X : -18.371978759765625, Y : -57.67245101928711
X : -17.964820861816406, Y : -57.66917419433594
X : -17.558561325073242, Y : -57.66567611694336
X : -17.157527923583984, Y : -57.66224670410156
X : -16.74137306213379, Y : -57.65867233276367
X : -16.333389282226562, Y : -57.65507125854492
X : -15.911189079284668, Y : -57.65135192871094
X : -15.495577812194824, Y : -57.647621154785156
X : -15.10724925994873, Y : -57.64406967163086
X : -14.655607223510742, Y : -57.63995361328125
X : -14.255351066589355, Y : -57.63629150390625
X : -13.852103233337402, Y : -57.63248825073242
X : -13.424714088439941, Y : -57.62839889526367
X : -13.020734786987305, Y : -57.62454605102539
X : -12.611513137817383, Y : -57.62058639526367
X : -12.208515167236328, Y : -57.61669921875
X : -11.807669639587402, Y : -57.6127815246582
X : -11.39389419555664, Y : -57.60872268676758
X : -10.967403411865234, Y : -57.60452651977539
X : -10.542948722839355, Y : -57.60033416748047
X : -10.120587348937988, Y : -57.59615707397461
X : -9.684748649597168, Y : -57.5917854309082
X : -9.271402359008789, Y : -57.587615966796875
X : -8.841718673706055, Y : -57.58304214477539
X : -8.439506530761719, Y : -57.57853698730469
X : -8.034880638122559, Y : -57.57394027709961
X : -7.61079216003418, Y : -57.56901550292969
X : -7.211709976196289, Y : -57.56427001953125
X : -6.7931742668151855, Y : -57.55924606323242
X : -6.390599250793457, Y : -57.55436706542969
X : -5.988422870635986, Y : -57.549442291259766
X : -5.583130836486816, Y : -57.544456481933594
X : -5.166224956512451, Y : -57.53927230834961
X : -4.760825157165527, Y : -57.5341682434082
X : -4.352805137634277, Y : -57.52895736694336
X : -3.9461171627044678, Y : -57.52373504638672
X : -3.546055793762207, Y : -57.51887512207031
X : -3.161562442779541, Y : -57.51437759399414
X : -2.766364336013794, Y : -57.50979232788086
X : -2.3628740310668945, Y : -57.50515365600586
X : -1.9598280191421509, Y : -57.50059509277344
X : -1.5476471185684204, Y : -57.49597930908203
X : -1.0950191020965576, Y : -57.49091339111328
X : -0.6685044765472412, Y : -57.48617172241211
X : -0.2529565989971161, Y : -57.481571197509766
X : 0.17327900230884552, Y : -57.476776123046875
X : 0.5763658881187439, Y : -57.47239303588867
X : 0.9744137525558472, Y : -57.468074798583984
X : 1.3635904788970947, Y : -57.46445846557617
X : 1.741941213607788, Y : -57.46137619018555
X : 2.1434268951416016, Y : -57.45825958251953
X : 2.549758195877075, Y : -57.455223083496094
X : 2.951897144317627, Y : -57.45241165161133
X : 3.35485577583313, Y : -57.44976043701172
X : 3.752216100692749, Y : -57.447113037109375
X : 4.14419412612915, Y : -57.44479751586914
X : 4.54667854309082, Y : -57.44245147705078
X : 4.955469131469727, Y : -57.43998336791992
X : 5.362792015075684, Y : -57.4376106262207
X : 5.7626190185546875, Y : -57.435359954833984
X : 6.171749114990234, Y : -57.433162689208984
X : 6.57501220703125, Y : -57.431243896484375
X : 6.971104621887207, Y : -57.42948913574219
X : 7.360291957855225, Y : -57.427913665771484
X : 7.750339984893799, Y : -57.42645263671875
X : 8.142416954040527, Y : -57.425140380859375
X : 8.552434921264648, Y : -57.423763275146484
X : 8.943076133728027, Y : -57.422454833984375
X : 9.327513694763184, Y : -57.42127990722656
X : 9.712425231933594, Y : -57.420204162597656
X : 10.095613479614258, Y : -57.41916275024414
X : 10.487488746643066, Y : -57.41815185546875
X : 10.871931076049805, Y : -57.417240142822266
X : 11.244626998901367, Y : -57.41636657714844
X : 11.640668869018555, Y : -57.415550231933594
X : 12.02233600616455, Y : -57.41475296020508
X : 12.412842750549316, Y : -57.4140510559082
X : 12.799090385437012, Y : -57.41348648071289
X : 13.191973686218262, Y : -57.41286087036133
X : 13.589859008789062, Y : -57.412410736083984
X : 13.992599487304688, Y : -57.411956787109375
X : 14.401470184326172, Y : -57.41151428222656
X : 14.785842895507812, Y : -57.41111755371094
X : 15.183303833007812, Y : -57.41075134277344
X : 15.559188842773438, Y : -57.41041946411133
X : 15.967835426330566, Y : -57.410057067871094
X : 16.35570526123047, Y : -57.40972900390625
X : 16.757556915283203, Y : -57.40946960449219
X : 17.14815902709961, Y : -57.40928649902344
X : 17.53006935119629, Y : -57.40911102294922
X : 17.922693252563477, Y : -57.408935546875
X : 18.31507682800293, Y : -57.40876770019531
X : 18.691247940063477, Y : -57.40863037109375
X : 19.08717918395996, Y : -57.40850067138672
X : 19.48033332824707, Y : -57.40836715698242
X : 19.883867263793945, Y : -57.40822982788086
X : 20.28093910217285, Y : -57.40812683105469
X : 20.667383193969727, Y : -57.40806579589844
X : 21.056034088134766, Y : -57.40801239013672
X : 21.447206497192383, Y : -57.407962799072266
X : 21.837703704833984, Y : -57.40791320800781
X : 22.227907180786133, Y : -57.40786361694336
X : 22.627328872680664, Y : -57.40787124633789
X : 23.017351150512695, Y : -57.407894134521484
X : 23.39157485961914, Y : -57.40791702270508
X : 23.78038215637207, Y : -57.407962799072266
X : 24.179927825927734, Y : -57.407997131347656
X : 24.576799392700195, Y : -57.40803146362305
X : 24.969223022460938, Y : -57.40806579589844
X : 25.361480712890625, Y : -57.40810012817383
X : 25.749216079711914, Y : -57.40816116333008
X : 26.130409240722656, Y : -57.40822982788086
X : 26.52632713317871, Y : -57.40830612182617
X : 26.92485237121582, Y : -57.40838623046875
X : 27.321956634521484, Y : -57.40846252441406
X : 27.713424682617188, Y : -57.40853500366211
X : 28.10635757446289, Y : -57.408607482910156
X : 28.501161575317383, Y : -57.40868377685547
X : 28.876394271850586, Y : -57.40876007080078
X : 29.274919509887695, Y : -57.408836364746094
X : 29.663400650024414, Y : -57.40896224975586
X : 30.053903579711914, Y : -57.409080505371094
X : 30.431161880493164, Y : -57.40916442871094
X : 30.829383850097656, Y : -57.40928649902344
X : 31.22602653503418, Y : -57.4094123840332
X : 31.612489700317383, Y : -57.40953063964844
X : 32.00511932373047, Y : -57.40964126586914
X : 32.382225036621094, Y : -57.409759521484375
X : 32.76844787597656, Y : -57.409881591796875
X : 33.15110397338867, Y : -57.40998840332031
X : 33.54248046875, Y : -57.410091400146484
X : 33.94601058959961, Y : -57.41021728515625
X : 34.33055114746094, Y : -57.41033172607422
X : 34.72206115722656, Y : -57.41044616699219
X : 35.113887786865234, Y : -57.410560607910156
X : 35.51211929321289, Y : -57.410701751708984
X : 35.90534210205078, Y : -57.41085433959961
X : 36.291255950927734, Y : -57.41101837158203
X : 36.680572509765625, Y : -57.41119384765625
X : 37.082881927490234, Y : -57.4113655090332
X : 37.46529769897461, Y : -57.41151809692383
X : 37.865718841552734, Y : -57.41169357299805
X : 38.25033187866211, Y : -57.41184997558594
X : 38.63956832885742, Y : -57.41200637817383
X : 39.02996063232422, Y : -57.41215515136719
X : 39.430599212646484, Y : -57.41233444213867
X : 39.83673858642578, Y : -57.41250991821289
X : 40.2192268371582, Y : -57.41266632080078
X : 40.60728073120117, Y : -57.41281509399414
X : 40.986263275146484, Y : -57.41297149658203
X : 41.374595642089844, Y : -57.41316604614258
X : 41.75629425048828, Y : -57.41332244873047
X : 42.20185852050781, Y : -57.413543701171875
X : 42.59506607055664, Y : -57.41373062133789
X : 42.993167877197266, Y : -57.41390609741211
X : 43.374168395996094, Y : -57.4140625
X : 43.738197326660156, Y : -57.414222717285156
X : 44.12038040161133, Y : -57.41437911987305
X : 44.50381088256836, Y : -57.41453552246094
X : 44.89041519165039, Y : -57.41468811035156
X : 45.28439712524414, Y : -57.41488265991211
X : 45.657875061035156, Y : -57.4150390625
X : 46.04786682128906, Y : -57.41523361206055
X : 46.45354080200195, Y : -57.415409088134766
X : 46.83161926269531, Y : -57.415565490722656
X : 47.22201919555664, Y : -57.4157600402832
X : 47.61116027832031, Y : -57.41592025756836
X : 47.988441467285156, Y : -57.41607666015625
X : 48.37118911743164, Y : -57.41623306274414
X : 48.77350616455078, Y : -57.416439056396484
X : 49.14960479736328, Y : -57.41660690307617
X : 49.51960372924805, Y : -57.41674041748047
X : 49.89192199707031, Y : -57.416908264160156
X : 50.24997329711914, Y : -57.417083740234375
X : 50.62131881713867, Y : -57.417274475097656
X : 51.0096321105957, Y : -57.4174690246582
X : 51.39643096923828, Y : -57.41766357421875
X : 51.76972579956055, Y : -57.417816162109375
X : 52.156673431396484, Y : -57.41794204711914
X : 52.54835510253906, Y : -57.418094635009766
X : 52.93684387207031, Y : -57.418251037597656
X : 53.3193359375, Y : -57.41841125488281
X : 53.6794319152832, Y : -57.41856384277344
