X : -46.0, Y : -57.69999694824219
X : -45.99822235107422, Y : -57.70000457763672
X : -45.91429901123047, Y : -57.69987106323242
X : -45.74871063232422, Y : -57.699745178222656
X : -45.534027099609375, Y : -57.6988525390625
X : -45.28077697753906, Y : -57.69735336303711
X : -44.99378204345703, Y : -57.69552230834961
X : -44.67544937133789, Y : -57.693641662597656
X : -44.327842712402344, Y : -57.69148635864258
X : -43.95014953613281, Y : -57.69140625
X : -43.543373107910156, Y : -57.69015121459961
X : -43.11025619506836, Y : -57.68796157836914
X : -42.65769958496094, Y : -57.68568420410156
X : -42.192298889160156, Y : -57.68342208862305
X : -41.717124938964844, Y : -57.68081283569336
X : -41.235511779785156, Y : -57.680599212646484
X : -40.74945831298828, Y : -57.67922592163086
X : -40.25143051147461, Y : -57.67652130126953
X : -39.74177169799805, Y : -57.673606872558594
X : -39.23493194580078, Y : -57.67084884643555
X : -38.72317123413086, Y : -57.668006896972656
X : -38.2032356262207, Y : -57.66708755493164
X : -37.674659729003906, Y : -57.66596603393555
X : -37.137901306152344, Y : -57.66410446166992
X : -36.59097671508789, Y : -57.662078857421875
X : -36.03182601928711, Y : -57.65986251831055
X : -35.458187103271484, Y : -57.65743637084961
X : -34.868980407714844, Y : -57.654945373535156
X : -34.264930725097656, Y : -57.65217590332031
X : -33.64805221557617, Y : -57.649085998535156
X : -33.0220832824707, Y : -57.64570236206055
X : -32.38883972167969, Y : -57.642147064208984
X : -31.74868392944336, Y : -57.63841247558594
X : -31.09994888305664, Y : -57.63452911376953
X : -30.439626693725586, Y : -57.6304817199707
X : -29.764772415161133, Y : -57.62611770629883
X : -29.075136184692383, Y : -57.621517181396484
X : -28.3732852935791, Y : -57.61672592163086
X : -27.66293716430664, Y : -57.61177444458008
X : -26.946491241455078, Y : -57.60672378540039
X : -26.22452163696289, Y : -57.601585388183594
X : -25.495256423950195, Y : -57.596317291259766
X : -24.75736427307129, Y : -57.59090805053711
X : -24.02054786682129, Y : -57.58546829223633
X : -23.293317794799805, Y : -57.57920837402344
X : -22.58118438720703, Y : -57.57502365112305
X : -21.887731552124023, Y : -57.568328857421875
X : -21.216440200805664, Y : -57.56105422973633
X : -20.56938362121582, Y : -57.552001953125
X : -19.94275665283203, Y : -57.545555114746094
X : -19.33844757080078, Y : -57.53599548339844
X : -18.7535457611084, Y : -57.52619934082031
X : -18.18548011779785, Y : -57.516136169433594
X : -17.633625030517578, Y : -57.50567626953125
X : -17.09888458251953, Y : -57.494789123535156
X : -16.5822696685791, Y : -57.483646392822266
X : -16.08131217956543, Y : -57.47295379638672
X : -15.587092399597168, Y : -57.462181091308594
X : -15.103986740112305, Y : -57.45166015625
X : -14.63253116607666, Y : -57.44144821166992
X : -14.171775817871094, Y : -57.43147659301758
X : -13.721145629882812, Y : -57.42171859741211
X : -13.280388832092285, Y : -57.4122314453125
X : -12.850298881530762, Y : -57.40298080444336
X : -12.432469367980957, Y : -57.393943786621094
X : -12.027545928955078, Y : -57.38578796386719
X : -11.634784698486328, Y : -57.37818145751953
X : -11.252785682678223, Y : -57.370887756347656
X : -10.87885570526123, Y : -57.36385726928711
X : -10.51114559173584, Y : -57.35712432861328
X : -10.149697303771973, Y : -57.35062789916992
X : -9.796525955200195, Y : -57.344398498535156
X : -9.453609466552734, Y : -57.33834457397461
X : -9.12152099609375, Y : -57.3325080871582
X : -8.800246238708496, Y : -57.326904296875
X : -8.488598823547363, Y : -57.32151794433594
X : -8.184525489807129, Y : -57.31643295288086
X : -7.886580467224121, Y : -57.31149673461914
X : -7.5929179191589355, Y : -57.30672836303711
X : -7.294024467468262, Y : -57.30192184448242
X : -6.982237339019775, Y : -57.296897888183594
X : -6.656019687652588, Y : -57.29172897338867
X : -6.3154144287109375, Y : -57.28633117675781
X : -5.960458278656006, Y : -57.28074645996094
X : -5.59060001373291, Y : -57.27497863769531
X : -5.204194068908691, Y : -57.26900863647461
X : -4.799474716186523, Y : -57.26288604736328
X : -4.376865863800049, Y : -57.25651550292969
X : -3.937319278717041, Y : -57.2499885559082
X : -3.4821701049804688, Y : -57.24343490600586
X : -3.013002872467041, Y : -57.236839294433594
X : -2.530576705932617, Y : -57.23006057739258
X : -2.034485340118408, Y : -57.22306442260742
X : -1.526576042175293, Y : -57.21588134765625
X : -1.021058201789856, Y : -57.21543502807617
X : -0.5133410692214966, Y : -57.215511322021484
X : -0.0060060881078243256, Y : -57.213314056396484
X : 0.5058702826499939, Y : -57.21079635620117
X : 1.0244665145874023, Y : -57.208255767822266
X : 1.5512914657592773, Y : -57.2056770324707
X : 2.0884478092193604, Y : -57.203060150146484
X : 2.6375744342803955, Y : -57.200443267822266
X : 3.199420690536499, Y : -57.19778823852539
X : 3.7738897800445557, Y : -57.19506072998047
X : 4.360374927520752, Y : -57.19234085083008
X : 4.958235263824463, Y : -57.18962860107422
X : 5.567030906677246, Y : -57.18688201904297
X : 6.1861114501953125, Y : -57.184120178222656
X : 6.815029621124268, Y : -57.18137741088867
X : 7.454191207885742, Y : -57.17861557006836
X : 8.104721069335938, Y : -57.17585754394531
X : 8.766439437866211, Y : -57.1789436340332
X : 9.438497543334961, Y : -57.18285369873047
X : 10.121068000793457, Y : -57.18563461303711
X : 10.811768531799316, Y : -57.18831253051758
X : 11.498702049255371, Y : -57.19098663330078
X : 12.172673225402832, Y : -57.193641662597656
X : 12.830242156982422, Y : -57.19624328613281
X : 13.470053672790527, Y : -57.19880294799805
X : 14.091554641723633, Y : -57.2012939453125
X : 14.694140434265137, Y : -57.20370864868164
X : 15.277310371398926, Y : -57.20602798461914
X : 15.840426445007324, Y : -57.208290100097656
X : 16.38324546813965, Y : -57.21049118041992
X : 16.905994415283203, Y : -57.21257781982422
X : 17.41019630432129, Y : -57.21458053588867
X : 17.90963363647461, Y : -57.21657180786133
X : 18.40260124206543, Y : -57.21852493286133
X : 18.884662628173828, Y : -57.220428466796875
X : 19.354801177978516, Y : -57.22227478027344
X : 19.81279182434082, Y : -57.22407913208008
X : 20.258228302001953, Y : -57.22587585449219
X : 20.691442489624023, Y : -57.22761154174805
X : 21.114105224609375, Y : -57.229305267333984
X : 21.527286529541016, Y : -57.230960845947266
X : 21.931171417236328, Y : -57.23261642456055
X : 22.325624465942383, Y : -57.2342414855957
X : 22.710248947143555, Y : -57.23582458496094
X : 23.084735870361328, Y : -57.23735046386719
X : 23.448915481567383, Y : -57.23883819580078
X : 23.803136825561523, Y : -57.24028778076172
X : 24.1481876373291, Y : -57.24169921875
X : 24.48455238342285, Y : -57.24307632446289
X : 24.81407928466797, Y : -57.244441986083984
X : 25.146631240844727, Y : -57.24580764770508
X : 25.490663528442383, Y : -57.24721908569336
X : 25.84935188293457, Y : -57.248695373535156
X : 26.224157333374023, Y : -57.25022888183594
X : 26.615089416503906, Y : -57.25182342529297
X : 27.02248764038086, Y : -57.25543212890625
X : 27.44960594177246, Y : -57.258514404296875
X : 27.893972396850586, Y : -57.26119613647461
X : 28.353899002075195, Y : -57.26392364501953
X : 28.827476501464844, Y : -57.26791000366211
