X : -31.0, Y : -57.69999694824219
X : -30.962114334106445, Y : -57.70049285888672
X : -30.850791931152344, Y : -57.702030181884766
X : -30.704607009887695, Y : -57.703914642333984
X : -30.51646614074707, Y : -57.70585250854492
X : -30.281532287597656, Y : -57.708133697509766
X : -30.040468215942383, Y : -57.71030044555664
X : -29.762731552124023, Y : -57.71240997314453
X : -29.47265625, Y : -57.714412689208984
X : -29.16506576538086, Y : -57.7158088684082
X : -28.83016586303711, Y : -57.71693420410156
X : -28.49148941040039, Y : -57.71760559082031
X : -28.152666091918945, Y : -57.71784591674805
X : -27.791576385498047, Y : -57.71794128417969
X : -27.42900276184082, Y : -57.71780776977539
X : -27.051395416259766, Y : -57.71753692626953
X : -26.663330078125, Y : -57.71708679199219
X : -26.264657974243164, Y : -57.71638488769531
X : -25.84600067138672, Y : -57.71537780761719
X : -25.438879013061523, Y : -57.71430969238281
X : -25.037187576293945, Y : -57.713294982910156
X : -24.646419525146484, Y : -57.71224594116211
X : -24.253292083740234, Y : -57.711097717285156
X : -23.854530334472656, Y : -57.709495544433594
X : -23.470232009887695, Y : -57.706478118896484
X : -23.084012985229492, Y : -57.70661163330078
X : -22.70066261291504, Y : -57.70379638671875
X : -22.308807373046875, Y : -57.701053619384766
X : -21.902755737304688, Y : -57.698455810546875
X : -21.505741119384766, Y : -57.695823669433594
X : -21.10738182067871, Y : -57.693138122558594
X : -20.717533111572266, Y : -57.68973159790039
X : -20.32288932800293, Y : -57.68795394897461
X : -19.922800064086914, Y : -57.68531036376953
X : -19.54078483581543, Y : -57.68207931518555
X : -19.14512062072754, Y : -57.67880630493164
X : -18.750804901123047, Y : -57.675575256347656
X : -18.34853172302246, Y : -57.67228317260742
X : -17.93610954284668, Y : -57.66884231567383
X : -17.54023551940918, Y : -57.66545867919922
X : -17.14784812927246, Y : -57.66211700439453
X : -16.747779846191406, Y : -57.65858840942383
X : -16.354230880737305, Y : -57.65518569946289
X : -15.95644474029541, Y : -57.65171813964844
X : -15.55882740020752, Y : -57.64817428588867
X : -15.160802841186523, Y : -57.64459228515625
X : -14.77487850189209, Y : -57.64110565185547
X : -14.365321159362793, Y : -57.63736343383789
X : -13.971830368041992, Y : -57.63365173339844
X : -13.574491500854492, Y : -57.62984085083008
X : -13.181305885314941, Y : -57.62614440917969
X : -12.77657413482666, Y : -57.622230529785156
X : -12.375333786010742, Y : -57.61833190917969
X : -11.985212326049805, Y : -57.61455535888672
X : -11.574419021606445, Y : -57.61052703857422
X : -11.192161560058594, Y : -57.60679244995117
X : -10.800455093383789, Y : -57.60293960571289
X : -10.403412818908691, Y : -57.5989990234375
X : -10.000810623168945, Y : -57.595008850097656
X : -9.613325119018555, Y : -57.591121673583984
X : -9.236072540283203, Y : -57.587318420410156
X : -8.85006332397461, Y : -57.58325958251953
X : -8.466665267944336, Y : -57.57889175415039
X : -8.073331832885742, Y : -57.57440948486328
X : -7.677314758300781, Y : -57.5698127746582
X : -7.2787909507751465, Y : -57.56507110595703
X : -6.901934623718262, Y : -57.56053924560547
X : -6.499819755554199, Y : -57.55567932128906
X : -6.1154327392578125, Y : -57.55100631713867
X : -5.7347869873046875, Y : -57.54634475708008
X : -5.339900493621826, Y : -57.54143524169922
X : -4.9495015144348145, Y : -57.53656005859375
X : -4.565541744232178, Y : -57.53167724609375
X : -4.17072057723999, Y : -57.52677917480469
X : -3.787461519241333, Y : -57.52197265625
X : -3.407277822494507, Y : -57.517494201660156
X : -3.008502244949341, Y : -57.51283264160156
X : -2.650021553039551, Y : -57.50862503051758
X : -2.2716312408447266, Y : -57.50423812866211
X : -1.8901920318603516, Y : -57.49989318847656
X : -1.49000883102417, Y : -57.495365142822266
X : -1.106877088546753, Y : -57.49104309082031
X : -0.7219669818878174, Y : -57.48675537109375
X : -0.3400501310825348, Y : -57.4825325012207
X : 0.051242828369140625, Y : -57.47819137573242
X : 0.4420009255409241, Y : -57.47391128540039
X : 0.8331332206726074, Y : -57.469661712646484
X : 1.220276951789856, Y : -57.46602249145508
X : 1.6113637685775757, Y : -57.46271514892578
X : 1.9919475317001343, Y : -57.45966339111328
X : 2.382916212081909, Y : -57.45668029785156
X : 2.756845712661743, Y : -57.453895568847656
X : 3.134070634841919, Y : -57.45121765136719
X : 3.5357666015625, Y : -57.44857406616211
X : 3.933893918991089, Y : -57.4460334777832
X : 4.3280158042907715, Y : -57.44363021850586
X : 4.71914005279541, Y : -57.44123840332031
X : 5.117674350738525, Y : -57.43891143798828
X : 5.49931001663208, Y : -57.436771392822266
X : 5.885495662689209, Y : -57.43465042114258
X : 6.272181987762451, Y : -57.432586669921875
X : 6.701599597930908, Y : -57.430564880371094
X : 7.104501724243164, Y : -57.42879104614258
X : 7.489875316619873, Y : -57.42725372314453
X : 7.87566614151001, Y : -57.425838470458984
X : 8.254583358764648, Y : -57.42438507080078
X : 8.639552116394043, Y : -57.42320251464844
X : 9.035701751708984, Y : -57.421875
X : 9.423250198364258, Y : -57.4207649230957
X : 9.808844566345215, Y : -57.41974639892578
X : 10.192288398742676, Y : -57.41874313354492
X : 10.58468246459961, Y : -57.417762756347656
X : 10.960841178894043, Y : -57.41688919067383
X : 11.339130401611328, Y : -57.41603088378906
X : 11.73827075958252, Y : -57.41523361206055
X : 12.143619537353516, Y : -57.41459655761719
X : 12.538813591003418, Y : -57.41388702392578
X : 12.933317184448242, Y : -57.41339111328125
X : 13.326824188232422, Y : -57.41281509399414
X : 13.704987525939941, Y : -57.41236877441406
X : 14.0775146484375, Y : -57.41192626953125
X : 14.480793952941895, Y : -57.411434173583984
X : 14.864852905273438, Y : -57.41103744506836
X : 15.255501747131348, Y : -57.410682678222656
X : 15.625401496887207, Y : -57.41035079956055
X : 15.987014770507812, Y : -57.4100227355957
X : 16.363088607788086, Y : -57.40970993041992
X : 16.76453399658203, Y : -57.40945816040039
X : 17.14930534362793, Y : -57.40927505493164
X : 17.536352157592773, Y : -57.40910339355469
X : 17.92348861694336, Y : -57.40892791748047
X : 18.292158126831055, Y : -57.40877914428711
X : 18.685529708862305, Y : -57.40864181518555
X : 19.073394775390625, Y : -57.40850830078125
X : 19.460737228393555, Y : -57.408382415771484
X : 19.85352325439453, Y : -57.40825653076172
X : 20.24321937561035, Y : -57.40815353393555
X : 20.630800247192383, Y : -57.4080810546875
X : 21.013532638549805, Y : -57.40802764892578
X : 21.40036392211914, Y : -57.40797424316406
X : 21.792598724365234, Y : -57.40792465209961
X : 22.17477798461914, Y : -57.407875061035156
X : 22.5589599609375, Y : -57.407875061035156
X : 22.93721580505371, Y : -57.40789794921875
X : 23.310871124267578, Y : -57.40792465209961
X : 23.694618225097656, Y : -57.40795135498047
X : 24.06413459777832, Y : -57.40798568725586
X : 24.440824508666992, Y : -57.408016204833984
X : 24.821632385253906, Y : -57.408050537109375
X : 25.195219039916992, Y : -57.40808868408203
X : 25.582504272460938, Y : -57.40812301635742
X : 25.962215423583984, Y : -57.40818405151367
X : 26.351268768310547, Y : -57.40824890136719
X : 26.72291374206543, Y : -57.4083251953125
X : 27.102678298950195, Y : -57.40839385986328
X : 27.495323181152344, Y : -57.408504486083984
X : 27.917665481567383, Y : -57.40858840942383
X : 28.29617691040039, Y : -57.40866470336914
X : 28.68537712097168, Y : -57.40873718261719
X : 29.056941986083984, Y : -57.408817291259766
X : 29.438270568847656, Y : -57.408935546875
X : 29.820350646972656, Y : -57.409080505371094
X : 30.202796936035156, Y : -57.40918731689453
X : 30.572938919067383, Y : -57.40926742553711
X : 30.944171905517578, Y : -57.40936279296875
X : 31.336158752441406, Y : -57.409481048583984
X : 31.72258949279785, Y : -57.40959930419922
X : 32.09719467163086, Y : -57.40971374511719
X : 32.49060821533203, Y : -57.40983200073242
X : 32.889366149902344, Y : -57.40991973876953
X : 33.265560150146484, Y : -57.40999984741211
X : 33.632633209228516, Y : -57.41011047363281
X : 34.020362854003906, Y : -57.410247802734375
X : 34.39503860473633, Y : -57.41035842895508
