X : -31.0, Y : -57.69999694824219
X : -30.703765869140625, Y : -57.7018928527832
X : -29.864776611328125, Y : -57.70687484741211
X : -28.684871673583984, Y : -57.71105194091797
X : -27.736236572265625, Y : -57.7126350402832
X : -26.24569320678711, Y : -57.7110595703125
X : -24.800199508666992, Y : -57.70853805541992
X : -23.40890121459961, Y : -57.702274322509766
X : -21.972631454467773, Y : -57.69493865966797
X : -21.004940032958984, Y : -57.68915939331055
X : -19.10834312438965, Y : -57.67519760131836
X : -17.669837951660156, Y : -57.66405487060547
X : -16.234804153442383, Y : -57.65222930908203
X : -14.792763710021973, Y : -57.63974380493164
X : -13.338459014892578, Y : -57.62633514404297
X : -11.922818183898926, Y : -57.61289978027344
X : -10.502692222595215, Y : -57.599212646484375
X : -9.062117576599121, Y : -57.58388137817383
X : -8.113662719726562, Y : -57.57316589355469
X : -6.67713737487793, Y : -57.556087493896484
X : -5.229267597198486, Y : -57.538421630859375
X : -3.781212568283081, Y : -57.5213508605957
X : -2.3505001068115234, Y : -57.50511932373047
X : -0.9085493087768555, Y : -57.48909378051758
X : 0.5295729637145996, Y : -57.47504806518555
X : 1.484867811203003, Y : -57.46668243408203
X : 2.928982973098755, Y : -57.45599365234375
X : 3.89420223236084, Y : -57.44947814941406
X : 5.326033592224121, Y : -57.44074630737305
X : 6.766988754272461, Y : -57.4334716796875
X : 8.210068702697754, Y : -57.427406311035156
X : 9.641280174255371, Y : -57.42240524291992
X : 11.068202018737793, Y : -57.41869354248047
X : 12.505828857421875, Y : -57.41584396362305
X : 13.937976837158203, Y : -57.41349411010742
X : 15.37647819519043, Y : -57.41164779663086
X : 16.334564208984375, Y : -57.41078186035156
X : 17.75640869140625, Y : -57.41004180908203
X : 19.19862174987793, Y : -57.4093017578125
X : 20.639249801635742, Y : -57.40871810913086
X : 22.062562942504883, Y : -57.40842819213867
X : 23.490556716918945, Y : -57.40837097167969
X : 24.90548324584961, Y : -57.40835189819336
X : 26.334781646728516, Y : -57.408470153808594
X : 27.298179626464844, Y : -57.408626556396484
X : 29.18825340270996, Y : -57.40919494628906
X : 30.589488983154297, Y : -57.4095344543457
X : 32.01705551147461, Y : -57.40983581542969
X : 33.923152923583984, Y : -57.410369873046875
X : 35.32910919189453, Y : -57.41079330444336
X : 36.28303146362305, Y : -57.411170959472656
X : 37.70378875732422, Y : -57.41173553466797
X : 39.136802673339844, Y : -57.41231918334961
X : 40.55998992919922, Y : -57.41290283203125
X : 42.4485969543457, Y : -57.41368103027344
X : 43.86272048950195, Y : -57.41426467895508
X : 45.25584030151367, Y : -57.41484832763672
X : 46.65696334838867, Y : -57.415443420410156
X : 48.0753173828125, Y : -57.41621017456055
X : 49.44879150390625, Y : -57.41682815551758
X : 50.84085464477539, Y : -57.41742706298828
X : 52.21626281738281, Y : -57.41796875
X : 54.05889892578125, Y : -57.41874313354492
X : 55.42500686645508, Y : -57.419334411621094
X : 57.20532989501953, Y : -57.41574478149414
X : 59.00191116333008, Y : -57.40919876098633
X : 60.37897872924805, Y : -57.4024543762207
X : 61.77754211425781, Y : -57.38491439819336
X : 63.15277099609375, Y : -57.34138870239258
X : 64.5142593383789, Y : -57.279075622558594
X : 66.34989929199219, Y : -57.166561126708984
X : 67.70787811279297, Y : -57.05628967285156
X : 69.06973266601562, Y : -56.89241027832031
X : 70.42131805419922, Y : -56.685447692871094
X : 71.7632064819336, Y : -56.41252136230469
X : 73.55286407470703, Y : -55.98004150390625
X : 74.88924407958984, Y : -55.61494064331055
X : 76.16062927246094, Y : -55.194007873535156
X : 77.87235260009766, Y : -54.54390335083008
X : 79.1334228515625, Y : -54.03098678588867
X : 80.36933898925781, Y : -53.45000457763672
X : 82.04196166992188, Y : -52.54717254638672
X : 83.25702667236328, Y : -51.83176040649414
X : 84.83272552490234, Y : -50.76373291015625
X : 85.97782135009766, Y : -49.94054412841797
X : 87.05357360839844, Y : -49.06692123413086
X : 88.45323181152344, Y : -47.7955207824707
X : 89.4791259765625, Y : -46.80173110961914
X : 90.45342254638672, Y : -45.75702667236328
X : 91.38297271728516, Y : -44.6614990234375
X : 92.54155731201172, Y : -43.156429290771484
X : 93.38914489746094, Y : -41.98426055908203
X : 94.16044616699219, Y : -40.75997543334961
X : 94.86563873291016, Y : -39.51863098144531
X : 95.53313446044922, Y : -38.23799514770508
X : 96.15608215332031, Y : -36.947547912597656
X : 96.88079833984375, Y : -35.18271255493164
X : 97.38197326660156, Y : -33.80917739868164
X : 97.79729461669922, Y : -32.42675018310547
X : 98.26548767089844, Y : -30.53329849243164
X : 98.47761535644531, Y : -29.561553955078125
X : 98.69615936279297, Y : -28.120468139648438
X : 98.88159942626953, Y : -26.667465209960938
X : 99.04354095458984, Y : -25.219955444335938
X : 99.12474060058594, Y : -24.271528244018555
X : 99.2061996459961, Y : -22.83879852294922
X : 99.25003814697266, Y : -21.877216339111328
X : 99.29943084716797, Y : -20.44220733642578
X : 99.33942413330078, Y : -19.00550651550293
X : 99.37037658691406, Y : -17.598369598388672
X : 99.38138580322266, Y : -16.703144073486328
X : 99.39070892333984, Y : -15.405312538146973
X : 99.39556121826172, Y : -14.55953598022461
X : 99.40044403076172, Y : -13.31902027130127
X : 99.4025650024414, Y : -12.515080451965332
X : 99.40283203125, Y : -11.342915534973145
X : 99.40204620361328, Y : -10.20882511138916
X : 99.39899444580078, Y : -9.076170921325684
X : 99.3942642211914, Y : -7.850015640258789
X : 99.39015197753906, Y : -6.970674991607666
X : 99.38166046142578, Y : -5.5559916496276855
X : 99.36360168457031, Y : -4.558346748352051
X : 99.30329132080078, Y : -3.091066837310791
X : 99.22541809082031, Y : -1.6737240552902222
X : 99.15953826904297, Y : -0.7189850211143494
X : 99.05618286132812, Y : 0.23400390148162842
X : 98.84138488769531, Y : 1.6443620920181274
X : 98.55768585205078, Y : 3.053341865539551
X : 98.30879974365234, Y : 3.980757713317871
X : 97.964599609375, Y : 4.852298259735107
X : 97.29011535644531, Y : 6.0847296714782715
X : 96.7738037109375, Y : 6.886394023895264
X : 95.85623168945312, Y : 7.979649543762207
X : 95.19912719726562, Y : 8.675113677978516
X : 94.49305725097656, Y : 9.311163902282715
X : 93.33477020263672, Y : 10.135981559753418
X : 92.11038970947266, Y : 10.874771118164062
X : 90.82340240478516, Y : 11.50071907043457
X : 89.9315414428711, Y : 11.835274696350098
X : 89.01615142822266, Y : 12.112052917480469
X : 87.63233184814453, Y : 12.43067741394043
X : 86.70497131347656, Y : 12.613272666931152
X : 85.28450775146484, Y : 12.839000701904297
X : 84.3360366821289, Y : 12.962263107299805
X : 82.9098892211914, Y : 13.082537651062012
X : 81.47186279296875, Y : 13.186380386352539
X : 80.51505279541016, Y : 13.239733695983887
X : 79.561767578125, Y : 13.275996208190918
X : 78.60655975341797, Y : 13.301309585571289
X : 77.6436767578125, Y : 13.320316314697266
X : 76.19419860839844, Y : 13.336545944213867
X : 75.23861694335938, Y : 13.348175048828125
X : 74.28694152832031, Y : 13.357418060302734
X : 72.84563446044922, Y : 13.365406036376953
X : 71.4133071899414, Y : 13.37172794342041
X : 69.99552917480469, Y : 13.373844146728516
X : 69.0325698852539, Y : 13.372925758361816
X : 67.5905532836914, Y : 13.368769645690918
X : 66.63108825683594, Y : 13.366819381713867
X : 65.67395782470703, Y : 13.3645601272583
X : 64.2435302734375, Y : 13.362358093261719
X : 63.29419708251953, Y : 13.360258102416992
X : 61.86082458496094, Y : 13.356664657592773
X : 60.897850036621094, Y : 13.354842185974121
X : 59.46782684326172, Y : 13.350419998168945
X : 58.51801300048828, Y : 13.34750747680664
X : 57.560306549072266, Y : 13.343814849853516
X : 56.59778594970703, Y : 13.341347694396973
X : 55.16321563720703, Y : 13.337133407592773
X : 54.20236587524414, Y : 13.334272384643555
X : 52.75920104980469, Y : 13.330025672912598
X : 51.80488967895508, Y : 13.327296257019043
X : 50.36040496826172, Y : 13.323265075683594
X : 48.90583419799805, Y : 13.319294929504395
X : 47.94351577758789, Y : 13.316628456115723
X : 46.50022506713867, Y : 13.312602996826172
X : 45.06360626220703, Y : 13.308655738830566
X : 44.11180114746094, Y : 13.30618667602539
X : 42.68317794799805, Y : 13.302987098693848
X : 41.73826599121094, Y : 13.300882339477539
X : 40.316219329833984, Y : 13.297443389892578
X : 38.8623161315918, Y : 13.293721199035645
X : 37.41183853149414, Y : 13.289926528930664
X : 36.457542419433594, Y : 13.287359237670898
X : 35.01425552368164, Y : 13.283318519592285
X : 33.580814361572266, Y : 13.279170989990234
