X : -46.0, Y : -57.69999694824219
X : -45.926029205322266, Y : -57.6996955871582
X : -45.30256271362305, Y : -57.69614028930664
X : -44.57301712036133, Y : -57.691986083984375
X : -43.78620147705078, Y : -57.68497085571289
X : -41.72614288330078, Y : -57.67877960205078
X : -40.37217330932617, Y : -57.67617416381836
X : -38.899169921875, Y : -57.672454833984375
X : -37.38886642456055, Y : -57.66793441772461
X : -35.87445068359375, Y : -57.66275405883789
X : -34.35673904418945, Y : -57.6573486328125
X : -32.83695602416992, Y : -57.65141296386719
X : -31.294384002685547, Y : -57.64508056640625
X : -30.23217010498047, Y : -57.63996887207031
X : -26.96784210205078, Y : -57.625633239746094
X : -25.291202545166016, Y : -57.620540618896484
X : -23.599029541015625, Y : -57.61408233642578
X : -21.874601364135742, Y : -57.60963439941406
X : -20.09222412109375, Y : -57.59553527832031
X : -18.879186630249023, Y : -57.58026123046875
X : -17.03611183166504, Y : -57.55223846435547
X : -15.766484260559082, Y : -57.52961730957031
X : -13.835041046142578, Y : -57.48907470703125
X : -9.949438095092773, Y : -57.43397521972656
X : -7.97519588470459, Y : -57.43552017211914
X : -5.997218608856201, Y : -57.426815032958984
X : -4.001681804656982, Y : -57.41101837158203
X : -1.9635385274887085, Y : -57.38739013671875
X : 0.10572768747806549, Y : -57.3553466796875
X : 1.4956661462783813, Y : -57.32925033569336
X : 3.5887999534606934, Y : -57.283447265625
X : 5.72084379196167, Y : -57.22917175292969
X : 9.989639282226562, Y : -57.18015670776367
X : 11.917073249816895, Y : -57.22333908081055
X : 13.612824440002441, Y : -57.25168991088867
X : 15.134639739990234, Y : -57.273231506347656
X : 16.085710525512695, Y : -57.28614807128906
X : 17.784151077270508, Y : -57.30934524536133
X : 18.908437728881836, Y : -57.324851989746094
X : 19.93204116821289, Y : -57.33888626098633
X : 21.15973663330078, Y : -57.35565948486328
X : 22.473913192749023, Y : -57.368621826171875
X : 23.259628295898438, Y : -57.37583541870117
X : 24.026933670043945, Y : -57.383548736572266
X : 24.86090850830078, Y : -57.391902923583984
X : 26.127201080322266, Y : -57.40460968017578
X : 27.19331932067871, Y : -57.415306091308594
X : 28.321752548217773, Y : -57.4266242980957
X : 29.54151725769043, Y : -57.43887710571289
X : 30.865341186523438, Y : -57.45219421386719
X : 33.6524772644043, Y : -57.459510803222656
X : 35.09458541870117, Y : -57.45512008666992
X : 37.03936004638672, Y : -57.45233917236328
X : 38.506534576416016, Y : -57.45088577270508
X : 40.43348693847656, Y : -57.44892501831055
X : 42.46464157104492, Y : -57.442420959472656
X : 99.38224029541016, Y : -16.005008697509766
X : 75.99407196044922, Y : 13.335960388183594
X : 75.09880828857422, Y : 13.352278709411621
X : 74.17861938476562, Y : 13.369179725646973
X : 73.22736358642578, Y : 13.386335372924805
X : 71.72860717773438, Y : 13.413262367248535
X : 70.71905517578125, Y : 13.431136131286621
X : 69.7078628540039, Y : 13.449077606201172
X : 68.6899185180664, Y : 13.467512130737305
X : 66.56350708007812, Y : 13.501618385314941
X : 63.86288833618164, Y : 13.49474048614502
X : 62.77518844604492, Y : 13.476637840270996
X : 61.12874984741211, Y : 13.45438003540039
X : 59.450618743896484, Y : 13.42893123626709
X : 58.317909240722656, Y : 13.412906646728516
X : 56.58199691772461, Y : 13.390312194824219
X : 55.38153839111328, Y : 13.371365547180176
X : 53.05461120605469, Y : 13.326325416564941
X : 51.99940872192383, Y : 13.304722785949707
X : 49.49958801269531, Y : 13.275579452514648
X : 48.150306701660156, Y : 13.269231796264648
X : 46.927490234375, Y : 13.261775970458984
X : 46.18008804321289, Y : 13.257173538208008
X : 45.147640228271484, Y : 13.250707626342773
X : 44.50556564331055, Y : 13.24655532836914
X : 43.599693298339844, Y : 13.240413665771484
X : 42.45242691040039, Y : 13.232283592224121
X : 41.82579040527344, Y : 13.227428436279297
X : 39.68864059448242, Y : 13.223841667175293
X : 38.37128448486328, Y : 13.225048065185547
X : 36.93293762207031, Y : 13.225172996520996
X : 35.943138122558594, Y : 13.225248336791992
X : 34.43092346191406, Y : 13.225370407104492
X : 32.903568267822266, Y : 13.225343704223633
X : 29.842411041259766, Y : 13.22527027130127
X : 28.82662010192871, Y : 13.22524642944336
X : 27.277116775512695, Y : 13.22520923614502
X : 24.127851486206055, Y : 13.224000930786133
X : 22.518993377685547, Y : 13.222708702087402
X : 20.898517608642578, Y : 13.221625328063965
X : 19.24043083190918, Y : 13.220596313476562
X : 17.548175811767578, Y : 13.219569206237793
X : 16.39459991455078, Y : 13.218865394592285
X : 14.631248474121094, Y : 13.217802047729492
X : 12.835747718811035, Y : 13.216736793518066
X : 11.012569427490234, Y : 13.215672492980957
X : 7.302793502807617, Y : 13.209360122680664
X : 5.411008834838867, Y : 13.20272159576416
X : 3.523883819580078, Y : 13.196334838867188
X : 1.2672333717346191, Y : 13.188700675964355
X : 0.26208868622779846, Y : 13.185303688049316
X : -1.1474264860153198, Y : 13.18053913116455
X : -2.4202475547790527, Y : 13.176231384277344
X : -3.566237211227417, Y : 13.172356605529785
X : -4.596072673797607, Y : 13.168825149536133
X : -6.364903450012207, Y : 13.163670539855957
X : -7.207009792327881, Y : 13.161361694335938
X : -41.79975509643555, Y : -9.10993766784668
