X: -29.533695220947266, Y: -57.5247688293457
X: -28.11318016052246, Y: -57.507904052734375
X: -26.64031219482422, Y: -57.49028015136719
X: -25.131053924560547, Y: -57.472103118896484
X: -23.583419799804688, Y: -57.47119140625
X: -22.008764266967773, Y: -57.49326705932617
X: -19.597944259643555, Y: -57.51966094970703
X: -17.967018127441406, Y: -57.53434371948242
X: -17.140819549560547, Y: -57.5413703918457
X: -15.473978996276855, Y: -57.555458068847656
X: -13.860788345336914, Y: -57.570369720458984
X: -12.341670989990234, Y: -57.58567428588867
X: -10.918703079223633, Y: -57.60089111328125
X: -9.578789710998535, Y: -57.6157112121582
X: -8.31711196899414, Y: -57.62986373901367
X: -7.717709064483643, Y: -57.63667297363281
X: -6.584397315979004, Y: -57.65068817138672
X: -5.023197650909424, Y: -57.67838668823242
X: -4.024299621582031, Y: -57.69855880737305
X: -3.059321165084839, Y: -57.71653366088867
X: -2.149221420288086, Y: -57.732421875
X: -1.2893967628479004, Y: -57.748046875
X: -0.46686261892318726, Y: -57.76441955566406
X: 0.693814218044281, Y: -57.78936767578125
X: 1.4121330976486206, Y: -57.8051643371582
X: 2.093001365661621, Y: -57.81968688964844
X: 2.7481443881988525, Y: -57.83363723754883
X: 3.373323678970337, Y: -57.84714126586914
X: 4.246993541717529, Y: -57.86610794067383
X: 4.801712512969971, Y: -57.84775161743164
X: 5.396004676818848, Y: -57.841400146484375
X: 5.983705997467041, Y: -57.84035110473633
X: 6.861394882202148, Y: -57.83906555175781
X: 7.51417875289917, Y: -57.83802032470703
X: 8.232090950012207, Y: -57.83686065673828
X: 9.012864112854004, Y: -57.83566665649414
X: 10.296079635620117, Y: -57.83385467529297
X: 11.227736473083496, Y: -57.8325080871582
X: 12.724126815795898, Y: -57.83024215698242
X: 13.231597900390625, Y: -57.82947540283203
X: 14.758889198303223, Y: -57.82735061645508
X: 15.817882537841797, Y: -57.82596206665039
X: 16.914024353027344, Y: -57.82476806640625
X: 18.64009666442871, Y: -57.823001861572266
X: 19.241947174072266, Y: -57.82234573364258
X: 20.482101440429688, Y: -57.820926666259766
X: 21.76753044128418, Y: -57.81940841674805
X: 23.7914981842041, Y: -57.81706237792969
X: 24.49166488647461, Y: -57.81631851196289
X: 25.924692153930664, Y: -57.81504440307617
