X : -31.0, Y : -57.69999694824219
X : -30.87382698059082, Y : -57.70167922973633
X : -30.65757942199707, Y : -57.70447540283203
X : -30.38060760498047, Y : -57.70789337158203
X : -29.7105712890625, Y : -57.7147216796875
X : -29.333486557006836, Y : -57.718017578125
X : -28.940502166748047, Y : -57.72047424316406
X : -28.113529205322266, Y : -57.72188186645508
X : -27.678112030029297, Y : -57.721771240234375
X : -26.772470474243164, Y : -57.719852447509766
X : -25.820281982421875, Y : -57.71708297729492
X : -25.32508087158203, Y : -57.71553421020508
X : -24.319059371948242, Y : -57.71200180053711
X : -23.81793212890625, Y : -57.71030044555664
X : -22.82618522644043, Y : -57.70576477050781
X : -22.332937240600586, Y : -57.70259475708008
X : -21.338918685913086, Y : -57.695491790771484
X : -20.83490753173828, Y : -57.69194793701172
X : -20.333703994750977, Y : -57.68841552734375
X : -19.33501625061035, Y : -57.68138122558594
X : -18.350772857666016, Y : -57.67378234863281
X : -17.86288833618164, Y : -57.669715881347656
X : -17.37241554260254, Y : -57.6653938293457
X : -16.38228988647461, Y : -57.65612030029297
X : -15.886292457580566, Y : -57.65147399902344
X : -14.901748657226562, Y : -57.642478942871094
X : -13.92392635345459, Y : -57.63351058959961
X : -13.43327522277832, Y : -57.628963470458984
X : -12.438156127929688, Y : -57.6192626953125
X : -11.93626594543457, Y : -57.61429977416992
X : -11.436640739440918, Y : -57.60947799682617
X : -10.440438270568848, Y : -57.5995979309082
X : -9.945101737976074, Y : -57.59468078613281
X : -8.950555801391602, Y : -57.58473587036133
X : -8.449347496032715, Y : -57.57952880859375
X : -7.950121879577637, Y : -57.57417678833008
X : -6.951075077056885, Y : -57.56227493286133
X : -5.956583499908447, Y : -57.5499153137207
X : -5.462738037109375, Y : -57.54371643066406
X : -4.470726490020752, Y : -57.53105163574219
X : -3.9694292545318604, Y : -57.5246467590332
X : -2.970714569091797, Y : -57.51156234741211
X : -2.4708821773529053, Y : -57.505393981933594
X : -1.9722200632095337, Y : -57.49966049194336
X : -0.9793777465820312, Y : -57.488948822021484
X : -0.4832121431827545, Y : -57.483680725097656
X : 0.5131712555885315, Y : -57.47318649291992
X : 1.5119491815567017, Y : -57.46233367919922
X : 2.0087950229644775, Y : -57.45690155029297
X : 2.9990713596343994, Y : -57.44935989379883
X : 3.4969322681427, Y : -57.446258544921875
X : 3.99782395362854, Y : -57.44350051879883
X : 4.995659828186035, Y : -57.438777923583984
X : 5.495047569274902, Y : -57.436546325683594
X : 5.993227481842041, Y : -57.43403625488281
X : 6.983356952667236, Y : -57.42861557006836
X : 7.476016521453857, Y : -57.42594909667969
