X: -41.89500045776367, Y: 0.789999783039093
X: -41.89487075805664, Y: 0.7830570340156555
X: -41.892507553100586, Y: 0.6806182439128557
X: -41.89014434814453, Y: 0.5781794538100561
X: -41.88778114318848, Y: 0.4757406637072563
X: -41.88541793823242, Y: 0.3733018736044566
X: -41.88305473327637, Y: 0.2708630835016568
X: -41.88069152832031, Y: 0.16842429339885712
X: -41.88069152832031, Y: 0.16842429339885712
X: -41.87852096557617, Y: 0.05628887563943863
X: -41.87635040283203, Y: -0.05584654211997986
X: -41.87417984008789, Y: -0.16798195987939835
X: -41.87200927734375, Y: -0.28011737763881683
X: -41.86983871459961, Y: -0.3922527953982353
X: -41.86766815185547, Y: -0.5043882131576538
X: -41.86766815185547, Y: -0.5043882131576538
X: -41.86620254516602, Y: -0.6122961044311523
X: -41.86473693847656, Y: -0.7202039957046509
X: -41.86327133178711, Y: -0.8281118869781494
X: -41.86180572509765, Y: -0.936019778251648
X: -41.8603401184082, Y: -1.0439276695251465
X: -41.85887451171875, Y: -1.151835560798645
X: -41.857408905029295, Y: -1.2597434520721436
X: -41.855943298339845, Y: -1.367651343345642
X: -41.85447769165039, Y: -1.4755592346191406
X: -41.85301208496094, Y: -1.5834671258926392
X: -41.85301208496094, Y: -1.5834671258926392
X: -41.852342878069194, Y: -1.6881095681871687
X: -41.85167367117746, Y: -1.792752010481698
X: -41.851004464285715, Y: -1.8973944527762276
X: -41.85033525739397, Y: -2.002036895070757
X: -41.84966605050223, Y: -2.1066793373652866
X: -41.84899684361049, Y: -2.211321779659816
X: -41.84832763671875, Y: -2.3159642219543457
X: -41.84832763671875, Y: -2.3159642219543457
X: -41.8485107421875, Y: -2.4256836346217563
X: -41.84869384765625, Y: -2.5354030472891673
X: -41.848876953125, Y: -2.645122459956578
X: -41.84906005859375, Y: -2.7548418726239885
X: -41.8492431640625, Y: -2.8645612852913995
X: -41.84942626953125, Y: -2.97428069795881
X: -41.849609375, Y: -3.0840001106262207
X: -41.849609375, Y: -3.0840001106262207
X: -41.84952974319458, Y: -3.190455585718155
X: -41.84945011138916, Y: -3.296911060810089
X: -41.84937047958374, Y: -3.4033665359020233
X: -41.84929084777832, Y: -3.5098220109939575
X: -41.8492112159729, Y: -3.6162774860858917
X: -41.84913158416748, Y: -3.722732961177826
X: -41.84905195236206, Y: -3.82918843626976
X: -41.84897232055664, Y: -3.9356439113616943
X: -41.84897232055664, Y: -3.9356439113616943
X: -41.84875570024763, Y: -4.0381589446749
X: -41.84853907993862, Y: -4.140673977988107
X: -41.84832245962961, Y: -4.243189011301313
X: -41.84810583932059, Y: -4.34570404461452
X: -41.84788921901158, Y: -4.4482190779277255
X: -41.847672598702566, Y: -4.550734111240931
X: -41.847455978393555, Y: -4.653249144554138
X: -41.84723935808454, Y: -4.755764177867344
X: -41.84702273777553, Y: -4.858279211180551
X: -41.84680611746652, Y: -4.960794244493757
X: -41.8465894971575, Y: -5.0633092778069635
X: -41.84637287684849, Y: -5.165824311120169
X: -41.84615625653948, Y: -5.268339344433375
X: -41.84593963623047, Y: -5.370854377746582
X: -41.84593963623047, Y: -5.370854377746582
X: -41.845890045166016, Y: -5.471939277648926
X: -41.84584045410156, Y: -5.57302417755127
X: -41.84579086303711, Y: -5.674109077453613
X: -41.845741271972656, Y: -5.775193977355957
X: -41.8456916809082, Y: -5.876278877258301
X: -41.84564208984375, Y: -5.977363777160645
X: -41.8455924987793, Y: -6.078448677062989
X: -41.845542907714844, Y: -6.179533576965332
X: -41.84549331665039, Y: -6.280618476867676
X: -41.84544372558594, Y: -6.3817033767700195
X: -41.84544372558594, Y: -6.3817033767700195
X: -41.84531440734863, Y: -6.4821524143219
X: -41.845185089111325, Y: -6.58260145187378
X: -41.845055770874026, Y: -6.683050489425659
X: -41.84492645263672, Y: -6.783499526977539
X: -41.844797134399414, Y: -6.883948564529419
X: -41.84466781616211, Y: -6.984397602081299
X: -41.8445384979248, Y: -7.084846639633179
X: -41.8444091796875, Y: -7.185295677185058
X: -41.8442798614502, Y: -7.285744714736938
X: -41.84415054321289, Y: -7.386193752288818
X: -41.84415054321289, Y: -7.386193752288818
X: -41.844154357910156, Y: -7.49261873109
X: -41.84415817260742, Y: -7.599043709891183
X: -41.84416198730469, Y: -7.705468688692365
X: -41.84416580200195, Y: -7.811893667493548
X: -41.84416961669922, Y: -7.91831864629473
X: -41.844173431396484, Y: -8.024743625095912
X: -41.84417724609375, Y: -8.131168603897095
X: -41.844181060791016, Y: -8.237593582698278
X: -41.84418487548828, Y: -8.344018561499459
X: -41.84418869018555, Y: -8.450443540300641
X: -41.84419250488281, Y: -8.556868519101824
X: -41.84419631958008, Y: -8.663293497903005
X: -41.844200134277344, Y: -8.769718476704188
X: -41.84420394897461, Y: -8.876143455505371
X: -41.84420394897461, Y: -8.876143455505371
X: -41.84427854749892, Y: -8.98478232489692
X: -41.844353146023224, Y: -9.093421194288466
X: -41.844427744547524, Y: -9.202060063680014
X: -41.84450234307183, Y: -9.31069893307156
X: -41.84457694159614, Y: -9.419337802463108
X: -41.844651540120445, Y: -9.527976671854654
X: -41.844726138644745, Y: -9.636615541246202
X: -41.84480073716905, Y: -9.745254410637749
X: -41.84487533569336, Y: -9.853893280029297
X: -41.84487533569336, Y: -9.853893280029297
X: -41.84483210245768, Y: -9.96387365129259
X: -41.84478886922201, Y: -10.073854022555881
X: -41.84474563598633, Y: -10.183834393819174
X: -41.84470240275065, Y: -10.293814765082466
X: -41.844659169514976, Y: -10.403795136345757
X: -41.8446159362793, Y: -10.513775507609049
X: -41.84457270304362, Y: -10.623755878872341
X: -41.844529469807945, Y: -10.733736250135633
X: -41.844486236572266, Y: -10.843716621398926
X: -41.844486236572266, Y: -10.843716621398926
X: -41.844311577933176, Y: -10.950589793069023
X: -41.84413691929409, Y: -11.057462964739118
X: -41.843962260655, Y: -11.164336136409215
X: -41.8437876020159, Y: -11.27120930807931
X: -41.84361294337681, Y: -11.378082479749407
X: -41.84343828473772, Y: -11.484955651419503
X: -41.84326362609863, Y: -11.5918288230896
X: -41.84308896745954, Y: -11.698701994759697
X: -41.842914308820454, Y: -11.805575166429792
X: -41.842739650181365, Y: -11.912448338099889
X: -41.84256499154227, Y: -12.019321509769984
X: -41.84239033290318, Y: -12.126194681440081
X: -41.84221567426409, Y: -12.233067853110178
X: -41.842041015625, Y: -12.339941024780273
X: -41.842041015625, Y: -12.339941024780273
X: -41.84182103474935, Y: -12.449507819281685
X: -41.841601053873696, Y: -12.559074613783094
X: -41.84138107299805, Y: -12.668641408284506
X: -41.8411610921224, Y: -12.778208202785915
X: -41.84094111124674, Y: -12.887774997287327
X: -41.840721130371094, Y: -12.997341791788736
X: -41.840501149495445, Y: -13.106908586290148
X: -41.84028116861979, Y: -13.216475380791557
X: -41.84006118774414, Y: -13.326042175292969
X: -41.84006118774414, Y: -13.326042175292969
X: -41.83986282348633, Y: -13.435247315300835
X: -41.839664459228516, Y: -13.544452455308702
X: -41.8394660949707, Y: -13.653657595316568
X: -41.83926773071289, Y: -13.762862735324436
X: -41.83906936645508, Y: -13.872067875332302
X: -41.838871002197266, Y: -13.98127301534017
X: -41.83867263793945, Y: -14.090478155348036
X: -41.83847427368164, Y: -14.199683295355904
X: -41.83827590942383, Y: -14.30888843536377
X: -41.83827590942383, Y: -14.30888843536377
X: -41.83803176879883, Y: -14.419514444139269
X: -41.83778762817383, Y: -14.530140452914768
X: -41.83754348754883, Y: -14.640766461690268
X: -41.83729934692383, Y: -14.751392470465767
X: -41.83705520629883, Y: -14.862018479241264
X: -41.83681106567383, Y: -14.972644488016764
X: -41.83656692504883, Y: -15.083270496792263
X: -41.83632278442383, Y: -15.193896505567762
X: -41.83607864379883, Y: -15.304522514343262
X: -41.83607864379883, Y: -15.304522514343262
X: -41.835652669270836, Y: -15.415403366088867
X: -41.835226694742836, Y: -15.526284217834473
X: -41.834800720214844, Y: -15.637165069580078
X: -41.83437474568685, Y: -15.748045921325684
X: -41.83394877115885, Y: -15.858926773071289
X: -41.83352279663086, Y: -15.969807624816895
X: -41.83309682210287, Y: -16.0806884765625
X: -41.83267084757487, Y: -16.191569328308105
X: -41.832244873046875, Y: -16.30245018005371
X: -41.832244873046875, Y: -16.30245018005371
X: -41.83166758219401, Y: -16.412747277153862
X: -41.83109029134115, Y: -16.523044374254013
X: -41.83051300048828, Y: -16.633341471354168
X: -41.829935709635414, Y: -16.74363856845432
X: -41.829358418782554, Y: -16.85393566555447
X: -41.82878112792969, Y: -16.96423276265462
X: -41.82820383707682, Y: -17.074529859754776
X: -41.82762654622396, Y: -17.184826956854927
X: -41.827049255371094, Y: -17.295124053955078
X: -41.827049255371094, Y: -17.295124053955078
X: -41.82645772298177, Y: -17.395184834798176
X: -41.82586619059245, Y: -17.495245615641277
X: -41.82527465820313, Y: -17.595306396484375
X: -41.8246831258138, Y: -17.695367177327473
X: -41.82409159342448, Y: -17.795427958170574
X: -41.823500061035155, Y: -17.895488739013672
X: -41.82290852864583, Y: -17.99554951985677
X: -41.82231699625651, Y: -18.09561030069987
X: -41.82172546386719, Y: -18.19567108154297
X: -41.82113393147787, Y: -18.295731862386067
X: -41.820542399088545, Y: -18.395792643229168
X: -41.819950866699216, Y: -18.495853424072266
X: -41.819359334309894, Y: -18.595914204915363
X: -41.81876780192057, Y: -18.695974985758465
X: -41.81817626953125, Y: -18.796035766601562
X: -41.81817626953125, Y: -18.796035766601562
X: -41.81754837036133, Y: -18.896437072753905
X: -41.81692047119141, Y: -18.99683837890625
X: -41.81629257202148, Y: -19.097239685058593
X: -41.81566467285156, Y: -19.19764099121094
X: -41.81503677368164, Y: -19.29804229736328
X: -41.81440887451172, Y: -19.398443603515624
X: -41.8137809753418, Y: -19.49884490966797
X: -41.81315307617187, Y: -19.599246215820312
X: -41.81252517700195, Y: -19.699647521972658
X: -41.81189727783203, Y: -19.800048828125
