X: -41.89500045776367, Y: 11.0
X: -41.89402389526367, Y: 10.82640266418457
X: -41.89402389526367, Y: 10.82640266418457
X: -41.89442571004232, Y: 10.715288480122885
X: -41.89482752482096, Y: 10.604174296061197
X: -41.89522933959961, Y: 10.493060111999512
X: -41.89563115437826, Y: 10.381945927937826
X: -41.8960329691569, Y: 10.270831743876139
X: -41.89643478393555, Y: 10.159717559814453
X: -41.89643478393555, Y: 10.159717559814453
X: -41.89683151245117, Y: 10.054372406005859
X: -41.8972282409668, Y: 9.949027252197265
X: -41.89762496948242, Y: 9.843682098388673
X: -41.89802169799805, Y: 9.738336944580078
X: -41.89841842651367, Y: 9.632991790771484
X: -41.89841842651367, Y: 9.632991790771484
X: -41.89889984130859, Y: 9.516983795166016
X: -41.89938125610352, Y: 9.400975799560547
X: -41.899862670898436, Y: 9.284967803955078
X: -41.90034408569336, Y: 9.168959808349609
X: -41.90082550048828, Y: 9.05295181274414
X: -41.90082550048828, Y: 9.05295181274414
X: -41.901093292236325, Y: 8.95079517364502
X: -41.901361083984376, Y: 8.848638534545898
X: -41.90162887573242, Y: 8.746481895446777
X: -41.90189666748047, Y: 8.644325256347656
X: -41.902164459228516, Y: 8.542168617248535
X: -41.90243225097656, Y: 8.440011978149414
X: -41.90270004272461, Y: 8.337855339050293
X: -41.902967834472655, Y: 8.235698699951172
X: -41.903235626220706, Y: 8.13354206085205
X: -41.90350341796875, Y: 8.03138542175293
X: -41.90350341796875, Y: 8.03138542175293
X: -41.90369633265904, Y: 7.919964858463833
X: -41.90388924734933, Y: 7.808544295174735
X: -41.90408216203962, Y: 7.697123731885638
X: -41.90427507672991, Y: 7.58570316859654
X: -41.9044679914202, Y: 7.474282605307443
X: -41.90466090611049, Y: 7.362862042018346
X: -41.90485382080078, Y: 7.251441478729248
X: -41.90485382080078, Y: 7.251441478729248
X: -41.90503263473511, Y: 7.146959722042084
X: -41.905211448669434, Y: 7.042477965354919
X: -41.90539026260376, Y: 6.937996208667755
X: -41.905569076538086, Y: 6.833514451980591
X: -41.90574789047241, Y: 6.7290326952934265
X: -41.90592670440674, Y: 6.624550938606262
X: -41.906105518341064, Y: 6.520069181919098
X: -41.90628433227539, Y: 6.415587425231934
X: -41.90628433227539, Y: 6.415587425231934
X: -41.90649890899658, Y: 6.303889632225037
X: -41.90671348571777, Y: 6.19219183921814
X: -41.906928062438965, Y: 6.080494046211243
X: -41.907142639160156, Y: 5.968796253204346
X: -41.90735721588135, Y: 5.857098460197449
X: -41.90757179260254, Y: 5.745400667190552
X: -41.90778636932373, Y: 5.633702874183655
X: -41.90800094604492, Y: 5.522005081176758
X: -41.90800094604492, Y: 5.522005081176758
X: -41.908167097303604, Y: 5.4146767192416725
X: -41.908333248562286, Y: 5.307348357306586
X: -41.90849939982096, Y: 5.200019995371501
X: -41.90866555107964, Y: 5.092691633436415
X: -41.908831702338325, Y: 4.985363271501329
X: -41.90899785359701, Y: 4.878034909566243
X: -41.90916400485568, Y: 4.770706547631158
X: -41.909330156114365, Y: 4.663378185696072
X: -41.90949630737305, Y: 4.556049823760986
X: -41.90949630737305, Y: 4.556049823760986
X: -41.90949745178223, Y: 4.454990220069885
X: -41.909498596191405, Y: 4.3539306163787845
X: -41.90949974060059, Y: 4.252871012687683
X: -41.90950088500976, Y: 4.151811408996582
X: -41.909502029418945, Y: 4.050751805305481
X: -41.90950317382813, Y: 3.94969220161438
X: -41.9095043182373, Y: 3.8486325979232787
X: -41.909505462646486, Y: 3.747572994232178
X: -41.90950660705566, Y: 3.6465133905410765
X: -41.909507751464844, Y: 3.5454537868499756
X: -41.909507751464844, Y: 3.5454537868499756
X: -41.90898056030274, Y: 3.443010425567627
X: -41.908453369140624, Y: 3.3405670642852785
X: -41.90792617797852, Y: 3.2381237030029295
X: -41.9073989868164, Y: 3.135680341720581
X: -41.9068717956543, Y: 3.0332369804382324
X: -41.90634460449219, Y: 2.930793619155884
X: -41.90581741333008, Y: 2.8283502578735353
X: -41.90529022216797, Y: 2.7259068965911863
X: -41.90476303100586, Y: 2.623463535308838
X: -41.90423583984375, Y: 2.5210201740264893
X: -41.90370864868164, Y: 2.4185768127441407
X: -41.90318145751953, Y: 2.316133451461792
X: -41.90265426635742, Y: 2.213690090179443
X: -41.90212707519531, Y: 2.1112467288970946
X: -41.9015998840332, Y: 2.008803367614746
X: -41.9015998840332, Y: 2.008803367614746
X: -41.90113220214844, Y: 1.9015353739261627
X: -41.900664520263675, Y: 1.7942673802375793
X: -41.9001968383789, Y: 1.686999386548996
X: -41.89972915649414, Y: 1.5797313928604126
X: -41.899261474609375, Y: 1.4724633991718292
X: -41.89879379272461, Y: 1.365195405483246
X: -41.89832611083985, Y: 1.2579274117946624
X: -41.897858428955075, Y: 1.1506594181060792
X: -41.89739074707031, Y: 1.0433914244174955
X: -41.89692306518555, Y: 0.9361234307289124
X: -41.89692306518555, Y: 0.9361234307289124
X: -41.89695913141424, Y: 0.8331390402533791
X: -41.89699519764293, Y: 0.7301546497778459
X: -41.897031263871625, Y: 0.6271702593023127
X: -41.89706733010032, Y: 0.5241858688267794
X: -41.897103396329015, Y: 0.4212014783512462
X: -41.8971394625577, Y: 0.318217087875713
X: -41.8971755287864, Y: 0.2152326974001798
X: -41.897211595015094, Y: 0.11224830692464649
X: -41.89724766124379, Y: 0.009263916449113285
X: -41.89728372747248, Y: -0.09372047402641992
X: -41.89731979370117, Y: -0.19670486450195312
X: -41.89731979370117, Y: -0.19670486450195312
X: -41.897887734805835, Y: -0.3008413875804228
X: -41.8984556759105, Y: -0.40497791065889244
X: -41.89902361701517, Y: -0.5091144337373621
X: -41.89959155811983, Y: -0.6132509568158317
X: -41.90015949922449, Y: -0.7173874798943015
X: -41.900727440329156, Y: -0.8215240029727712
X: -41.901295381433826, Y: -0.9256605260512408
X: -41.90186332253849, Y: -1.0297970491297104
X: -41.90243126364315, Y: -1.1339335722081803
X: -41.902999204747815, Y: -1.23807009528665
X: -41.903567145852485, Y: -1.3422066183651196
X: -41.90413508695715, Y: -1.4463431414435892
X: -41.90470302806181, Y: -1.5504796645220587
X: -41.90527096916647, Y: -1.6546161876005285
X: -41.90583891027114, Y: -1.7587527106789982
X: -41.906406851375806, Y: -1.8628892337574678
X: -41.90697479248047, Y: -1.9670257568359375
X: -41.90697479248047, Y: -1.9670257568359375
X: -41.90817387898763, Y: -2.0690452655156455
X: -41.90937296549479, Y: -2.171064774195353
X: -41.91057205200195, Y: -2.273084282875061
X: -41.91177113850912, Y: -2.375103791554769
X: -41.912970225016274, Y: -2.477123300234477
X: -41.91416931152344, Y: -2.5791428089141846
X: -41.9153683980306, Y: -2.6811623175938926
X: -41.91656748453776, Y: -2.7831818262736
X: -41.91776657104492, Y: -2.885201334953308
X: -41.918965657552086, Y: -2.987220843633016
X: -41.92016474405924, Y: -3.089240352312724
X: -41.921363830566406, Y: -3.1912598609924316
X: -41.92256291707357, Y: -3.293279369672139
X: -41.92376200358073, Y: -3.3952988783518476
X: -41.92496109008789, Y: -3.497318387031555
X: -41.926160176595054, Y: -3.5993378957112627
X: -41.92735926310221, Y: -3.7013574043909707
X: -41.928558349609375, Y: -3.8033769130706787
X: -41.928558349609375, Y: -3.8033769130706787
X: -41.92995007832845, Y: -3.9088136553764343
X: -41.931341807047524, Y: -4.01425039768219
X: -41.9327335357666, Y: -4.119687139987946
X: -41.93412526448568, Y: -4.225123882293701
X: -41.93551699320475, Y: -4.330560624599457
X: -41.93690872192383, Y: -4.435997366905212
X: -41.938300450642906, Y: -4.541434109210968
X: -41.93969217936198, Y: -4.646870851516724
X: -41.941083908081055, Y: -4.752307593822479
X: -41.94247563680013, Y: -4.857744336128235
X: -41.9438673655192, Y: -4.9631810784339905
X: -41.94525909423828, Y: -5.068617820739746
X: -41.94525909423828, Y: -5.068617820739746
X: -41.94663760536596, Y: -5.17279230920892
X: -41.948016116493626, Y: -5.276966797678094
X: -41.9493946276213, Y: -5.381141286147268
X: -41.95077313874897, Y: -5.485315774616442
X: -41.95215164987665, Y: -5.589490263085616
X: -41.953530161004316, Y: -5.69366475155479
X: -41.95490867213199, Y: -5.797839240023964
X: -41.95628718325966, Y: -5.902013728493138
X: -41.95766569438734, Y: -6.006188216962312
X: -41.959044205515006, Y: -6.110362705431486
X: -41.96042271664268, Y: -6.214537193900661
X: -41.96180122777035, Y: -6.318711682369834
X: -41.96317973889803, Y: -6.422886170839009
X: -41.964558250025696, Y: -6.527060659308183
X: -41.96593676115337, Y: -6.631235147777357
X: -41.96731527228104, Y: -6.735409636246531
X: -41.96869378340872, Y: -6.839584124715705
X: -41.970072294536386, Y: -6.943758613184879
X: -41.97145080566406, Y: -7.047933101654053
X: -41.97145080566406, Y: -7.047933101654053
X: -41.97276599590595, Y: -7.152587963984563
X: -41.974081186147835, Y: -7.257242826315073
X: -41.975396376389725, Y: -7.361897688645583
X: -41.97671156663161, Y: -7.466552550976093
X: -41.9780267568735, Y: -7.571207413306603
X: -41.97934194711539, Y: -7.6758622756371135
X: -41.98065713735727, Y: -7.780517137967623
X: -41.98197232759916, Y: -7.885172000298133
X: -41.98328751784105, Y: -7.989826862628643
X: -41.98460270808293, Y: -8.094481724959154
X: -41.98591789832482, Y: -8.199136587289663
X: -41.987233088566704, Y: -8.303791449620174
X: -41.988548278808594, Y: -8.408446311950684
X: -41.988548278808594, Y: -8.408446311950684
X: -41.98982365926107, Y: -8.50953756059919
X: -41.99109903971354, Y: -8.610628809247698
X: -41.992374420166016, Y: -8.711720057896205
X: -41.99364980061849, Y: -8.812811306544713
X: -41.99492518107096, Y: -8.91390255519322
X: -41.99620056152344, Y: -9.014993803841728
X: -41.997475941975914, Y: -9.116085052490234
X: -41.99875132242838, Y: -9.21717630113874
X: -42.00002670288086, Y: -9.31826754978725
X: -42.001302083333336, Y: -9.419358798435756
X: -42.002577463785805, Y: -9.520450047084264
X: -42.00385284423828, Y: -9.62154129573277
X: -42.00512822469076, Y: -9.722632544381279
X: -42.00640360514323, Y: -9.823723793029785
X: -42.0076789855957, Y: -9.924815041678293
X: -42.00895436604818, Y: -10.0259062903268
X: -42.01022974650065, Y: -10.126997538975306
X: -42.011505126953125, Y: -10.228088787623815
X: -42.0127805074056, Y: -10.329180036272321
X: -42.01405588785807, Y: -10.430271284920828
X: -42.01533126831055, Y: -10.531362533569336
X: -42.01533126831055, Y: -10.531362533569336
X: -42.01671436854771, Y: -10.636641502380371
X: -42.01809746878488, Y: -10.741920471191406
X: -42.01948056902204, Y: -10.847199440002441
X: -42.02086366925921, Y: -10.952478408813477
X: -42.02224676949637, Y: -11.057757377624512
X: -42.02362986973354, Y: -11.163036346435547
X: -42.0250129699707, Y: -11.268315315246582
X: -42.026396070207866, Y: -11.373594284057617
X: -42.02777917044504, Y: -11.478873252868652
X: -42.0291622706822, Y: -11.584152221679688
X: -42.03054537091936, Y: -11.689431190490723
X: -42.031928471156526, Y: -11.794710159301758
X: -42.033311571393696, Y: -11.899989128112793
X: -42.03469467163086, Y: -12.005268096923828
X: -42.03469467163086, Y: -12.005268096923828
X: -42.03340235623446, Y: -12.108105399391867
X: -42.03211004083807, Y: -12.210942701859908
X: -42.03081772544167, Y: -12.313780004327947
X: -42.029525410045274, Y: -12.416617306795986
X: -42.02823309464888, Y: -12.519454609264027
X: -42.026940779252485, Y: -12.622291911732066
X: -42.02564846385609, Y: -12.725129214200107
X: -42.024356148459695, Y: -12.827966516668146
X: -42.0230638330633, Y: -12.930803819136186
X: -42.021771517666906, Y: -13.033641121604226
