X : -31.0, Y : -57.69999694824219
X : -30.95298957824707, Y : -57.70054626464844
X : -30.791236877441406, Y : -57.70232391357422
X : -30.559722900390625, Y : -57.70455551147461
X : -30.276601791381836, Y : -57.70008850097656
X : -29.946544647216797, Y : -57.692054748535156
X : -29.572731018066406, Y : -57.68305206298828
X : -29.164669036865234, Y : -57.67367935180664
X : -28.73381233215332, Y : -57.664241790771484
X : -28.288490295410156, Y : -57.65986251831055
X : -27.831552505493164, Y : -57.65812683105469
X : -27.365501403808594, Y : -57.66135025024414
X : -26.89144515991211, Y : -57.66686248779297
X : -26.411170959472656, Y : -57.67237091064453
X : -25.92698097229004, Y : -57.67258834838867
X : -25.441068649291992, Y : -57.66963577270508
X : -24.95500946044922, Y : -57.66193389892578
X : -24.469694137573242, Y : -57.65201187133789
X : -23.98375701904297, Y : -57.648372650146484
X : -23.483253479003906, Y : -57.646751403808594
X : -22.97037124633789, Y : -57.65195083618164
X : -22.449674606323242, Y : -57.65863037109375
X : -21.910268783569336, Y : -57.67136001586914
X : -21.348445892333984, Y : -57.68294143676758
X : -20.775680541992188, Y : -57.69148254394531
X : -20.20246696472168, Y : -57.69695281982422
X : -19.631349563598633, Y : -57.69850158691406
X : -19.06610870361328, Y : -57.6962890625
X : -18.50711441040039, Y : -57.69203186035156
X : -17.95488166809082, Y : -57.68685531616211
X : -17.409727096557617, Y : -57.68146514892578
X : -16.871793746948242, Y : -57.676292419433594
X : -16.341205596923828, Y : -57.66897201538086
X : -15.818779945373535, Y : -57.65972900390625
X : -15.30864429473877, Y : -57.65130615234375
X : -14.807831764221191, Y : -57.64430618286133
X : -14.309452056884766, Y : -57.64234924316406
X : -13.815004348754883, Y : -57.64350509643555
X : -13.325749397277832, Y : -57.642967224121094
X : -12.831853866577148, Y : -57.64100646972656
X : -12.326051712036133, Y : -57.638587951660156
X : -11.819655418395996, Y : -57.62923812866211
X : -11.30540657043457, Y : -57.61300277709961
X : -10.784712791442871, Y : -57.59221649169922
X : -10.260113716125488, Y : -57.569026947021484
X : -9.736741065979004, Y : -57.545570373535156
X : -9.217230796813965, Y : -57.52626419067383
X : -8.703017234802246, Y : -57.5107307434082
X : -8.194887161254883, Y : -57.499061584472656
X : -7.691781520843506, Y : -57.48982620239258
X : -7.186733245849609, Y : -57.48313522338867
X : -6.6828436851501465, Y : -57.47766876220703
X : -6.178273677825928, Y : -57.47273254394531
X : -5.676178932189941, Y : -57.46795654296875
X : -5.174213886260986, Y : -57.46290969848633
X : -4.6734724044799805, Y : -57.45867156982422
X : -4.175796031951904, Y : -57.45503616333008
X : -3.682065963745117, Y : -57.45396423339844
X : -3.187269926071167, Y : -57.45418930053711
X : -2.6865057945251465, Y : -57.45248794555664
X : -2.1830637454986572, Y : -57.44966506958008
X : -1.6803488731384277, Y : -57.4431037902832
X : -1.1772619485855103, Y : -57.434120178222656
X : -0.6739046573638916, Y : -57.42448425292969
X : -0.17037849128246307, Y : -57.417903900146484
X : 0.3327781856060028, Y : -57.413421630859375
X : 0.8347463607788086, Y : -57.4100227355957
X : 1.335957646369934, Y : -57.406795501708984
X : 1.837281346321106, Y : -57.40451431274414
X : 2.336571455001831, Y : -57.402503967285156
X : 2.834584951400757, Y : -57.39876174926758
X : 3.3275115489959717, Y : -57.39372253417969
X : 3.8114988803863525, Y : -57.38848876953125
X : 4.286622047424316, Y : -57.38567352294922
X : 4.753567218780518, Y : -57.38422393798828
X : 5.214742183685303, Y : -57.385311126708984
X : 5.675051689147949, Y : -57.387508392333984
X : 6.138761043548584, Y : -57.3856201171875
X : 6.614482879638672, Y : -57.38132095336914
X : 7.105798244476318, Y : -57.37656784057617
X : 7.61011266708374, Y : -57.36872863769531
X : 8.112957954406738, Y : -57.359500885009766
X : 8.616143226623535, Y : -57.35541534423828
X : 9.11899471282959, Y : -57.355525970458984
X : 9.620981216430664, Y : -57.36461639404297
X : 10.124369621276855, Y : -57.380916595458984
X : 10.62722110748291, Y : -57.39882278442383
X : 11.132749557495117, Y : -57.41645431518555
X : 11.640569686889648, Y : -57.42843246459961
X : 12.150802612304688, Y : -57.43517303466797
X : 12.660165786743164, Y : -57.431034088134766
X : 13.16693115234375, Y : -57.41806411743164
X : 13.673873901367188, Y : -57.405364990234375
X : 14.179702758789062, Y : -57.394325256347656
X : 14.683157920837402, Y : -57.38473129272461
X : 15.185909271240234, Y : -57.383094787597656
X : 15.687209129333496, Y : -57.3871955871582
X : 16.18726921081543, Y : -57.388710021972656
X : 16.68348503112793, Y : -57.38760757446289
X : 17.175357818603516, Y : -57.37721633911133
X : 17.660688400268555, Y : -57.361083984375
X : 18.139808654785156, Y : -57.34252166748047
X : 18.613656997680664, Y : -57.323612213134766
X : 19.08353042602539, Y : -57.30534362792969
X : 19.551061630249023, Y : -57.29542541503906
X : 20.018878936767578, Y : -57.29014587402344
X : 20.489667892456055, Y : -57.2932014465332
X : 20.975677490234375, Y : -57.30059051513672
X : 21.486379623413086, Y : -57.30646896362305
X : 22.0042667388916, Y : -57.311004638671875
X : 22.534082412719727, Y : -57.31472396850586
X : 23.082910537719727, Y : -57.30967712402344
X : 23.642005920410156, Y : -57.29681396484375
X : 24.20284652709961, Y : -57.28310012817383
X : 24.761098861694336, Y : -57.27088928222656
X : 25.314470291137695, Y : -57.25962448120117
X : 25.861766815185547, Y : -57.24890899658203
X : 26.402374267578125, Y : -57.23857879638672
X : 26.935983657836914, Y : -57.23053741455078
X : 27.46246337890625, Y : -57.22458267211914
X : 27.981773376464844, Y : -57.22043228149414
X : 28.493925094604492, Y : -57.21737289428711
X : 28.998380661010742, Y : -57.22026062011719
X : 29.501426696777344, Y : -57.22915267944336
X : 30.00128173828125, Y : -57.24129104614258
X : 30.50384521484375, Y : -57.254417419433594
X : 31.009918212890625, Y : -57.26714324951172
X : 31.51302719116211, Y : -57.27283477783203
X : 32.028953552246094, Y : -57.27019500732422
X : 32.54520034790039, Y : -57.25832748413086
X : 33.0568733215332, Y : -57.23976516723633
X : 33.56019592285156, Y : -57.21923828125
X : 34.06244659423828, Y : -57.199710845947266
X : 34.56258010864258, Y : -57.18202590942383
X : 35.06217575073242, Y : -57.16853332519531
X : 35.56245040893555, Y : -57.15739440917969
X : 36.061458587646484, Y : -57.15138244628906
X : 36.56110382080078, Y : -57.14817428588867
X : 37.058292388916016, Y : -57.150482177734375
X : 37.54677200317383, Y : -57.1553840637207
X : 38.02571105957031, Y : -57.15774917602539
X : 38.50038146972656, Y : -57.15819549560547
X : 38.974815368652344, Y : -57.15301513671875
X : 39.45158004760742, Y : -57.14491271972656
X : 39.93138122558594, Y : -57.13650894165039
X : 40.41362380981445, Y : -57.13220977783203
X : 40.89704513549805, Y : -57.130374908447266
X : 41.37997055053711, Y : -57.13999938964844
X : 41.862205505371094, Y : -57.1578369140625
X : 42.34531784057617, Y : -57.18313217163086
X : 42.84153747558594, Y : -57.21207046508789
X : 43.35344696044922, Y : -57.2413330078125
X : 43.86415100097656, Y : -57.26549530029297
X : 44.38656234741211, Y : -57.28528594970703
X : 44.92864990234375, Y : -57.29600524902344
X : 45.48173141479492, Y : -57.29890823364258
X : 46.03690719604492, Y : -57.30126190185547
X : 46.58965301513672, Y : -57.30534362792969
X : 47.13755416870117, Y : -57.30638885498047
X : 47.67942428588867, Y : -57.30410385131836
X : 48.21470260620117, Y : -57.300575256347656
X : 48.74304962158203, Y : -57.29587936401367
X : 49.26433563232422, Y : -57.290462493896484
