X : -30.313232421875, Y : -57.70716094970703
X : -29.54799461364746, Y : -57.70103073120117
X : -28.79098892211914, Y : -57.701385498046875
X : -28.052385330200195, Y : -57.70269012451172
X : -27.334306716918945, Y : -57.70460510253906
X : -26.631471633911133, Y : -57.70694351196289
X : -25.939361572265625, Y : -57.708396911621094
X : -25.255754470825195, Y : -57.69995880126953
X : -24.573591232299805, Y : -57.68122863769531
X : -23.888648986816406, Y : -57.66658020019531
X : -23.211210250854492, Y : -57.648319244384766
X : -22.55258560180664, Y : -57.626243591308594
X : -21.913686752319336, Y : -57.60588073730469
X : -21.295618057250977, Y : -57.59040451049805
X : -20.699214935302734, Y : -57.579734802246094
X : -20.124128341674805, Y : -57.57365036010742
X : -19.570232391357422, Y : -57.57002258300781
X : -19.038618087768555, Y : -57.56793975830078
X : -18.528345108032227, Y : -57.56653594970703
X : -18.029613494873047, Y : -57.56441116333008
X : -17.53832244873047, Y : -57.56288528442383
X : -17.060222625732422, Y : -57.56168746948242
X : -16.597402572631836, Y : -57.55872344970703
X : -16.14885139465332, Y : -57.558631896972656
X : -15.708910942077637, Y : -57.56011199951172
X : -15.273478507995605, Y : -57.559749603271484
X : -14.839427947998047, Y : -57.55824661254883
X : -14.407502174377441, Y : -57.55303192138672
X : -13.981343269348145, Y : -57.5460205078125
X : -13.563886642456055, Y : -57.53910446166992
X : -13.156336784362793, Y : -57.53544235229492
X : -12.759774208068848, Y : -57.533626556396484
X : -12.374465942382812, Y : -57.53242874145508
X : -12.000288963317871, Y : -57.531288146972656
X : -11.637005805969238, Y : -57.53067398071289
X : -11.284345626831055, Y : -57.53017044067383
X : -10.941576957702637, Y : -57.52801513671875
X : -10.609339714050293, Y : -57.52522659301758
X : -10.287973403930664, Y : -57.52255630493164
X : -9.977349281311035, Y : -57.52174758911133
X : -9.677175521850586, Y : -57.521663665771484
X : -9.388434410095215, Y : -57.52305603027344
X : -9.108473777770996, Y : -57.5247802734375
X : -8.833757400512695, Y : -57.52354431152344
X : -8.55558967590332, Y : -57.52105712890625
X : -8.25978946685791, Y : -57.51853942871094
X : -7.93831729888916, Y : -57.51401901245117
X : -7.590747356414795, Y : -57.50852966308594
X : -7.219729423522949, Y : -57.50797653198242
X : -6.830509662628174, Y : -57.51025390625
X : -6.425344467163086, Y : -57.52106857299805
X : -6.001288414001465, Y : -57.53697967529297
X : -5.556672096252441, Y : -57.55353927612305
X : -5.091685771942139, Y : -57.56960678100586
X : -4.606586933135986, Y : -57.579017639160156
X : -4.102776527404785, Y : -57.57771682739258
X : -3.599407196044922, Y : -57.56583023071289
X : -3.093318223953247, Y : -57.54570770263672
X : -2.5904762744903564, Y : -57.52524185180664
X : -2.077608823776245, Y : -57.51435470581055
X : -1.566365122795105, Y : -57.504051208496094
X : -1.0523033142089844, Y : -57.49879837036133
X : -0.5324386954307556, Y : -57.499481201171875
X : -0.0058049773797392845, Y : -57.49906921386719
X : 0.524858832359314, Y : -57.49623489379883
X : 1.0569988489151, Y : -57.48534393310547
X : 1.5902107954025269, Y : -57.46737289428711
X : 2.125403642654419, Y : -57.44540023803711
X : 2.6637136936187744, Y : -57.42137908935547
X : 3.206592559814453, Y : -57.39670181274414
X : 3.755887031555176, Y : -57.37856674194336
X : 4.314516067504883, Y : -57.36621856689453
X : 4.8856916427612305, Y : -57.36280059814453
X : 5.4810991287231445, Y : -57.3665657043457
X : 6.112292766571045, Y : -57.37136459350586
X : 6.78501033782959, Y : -57.375736236572266
X : 7.501887798309326, Y : -57.37983703613281
X : 8.260781288146973, Y : -57.37287139892578
X : 9.0444917678833, Y : -57.353660583496094
X : 9.829876899719238, Y : -57.3304443359375
X : 10.602779388427734, Y : -57.307308197021484
X : 11.356764793395996, Y : -57.2847785949707
X : 12.089019775390625, Y : -57.263031005859375
X : 12.798479080200195, Y : -57.24423599243164
X : 13.484878540039062, Y : -57.22847366333008
X : 14.14832592010498, Y : -57.21450424194336
X : 14.78911304473877, Y : -57.20280075073242
X : 15.40761947631836, Y : -57.19296646118164
X : 16.003679275512695, Y : -57.19041442871094
X : 16.57696533203125, Y : -57.19493865966797
X : 17.128253936767578, Y : -57.203636169433594
X : 17.66156005859375, Y : -57.214271545410156
X : 18.18072509765625, Y : -57.2250862121582
X : 18.688140869140625, Y : -57.228240966796875
X : 19.195276260375977, Y : -57.22367858886719
X : 19.69829559326172, Y : -57.21052169799805
X : 20.19916534423828, Y : -57.19123077392578
X : 20.695926666259766, Y : -57.17281723022461
X : 21.18256950378418, Y : -57.157161712646484
X : 21.656381607055664, Y : -57.146732330322266
X : 22.1168155670166, Y : -57.13922882080078
X : 22.563932418823242, Y : -57.13664245605469
X : 22.99814224243164, Y : -57.13610076904297
X : 23.419836044311523, Y : -57.13547134399414
X : 23.828685760498047, Y : -57.13941192626953
X : 24.224088668823242, Y : -57.145267486572266
X : 24.606332778930664, Y : -57.14860153198242
X : 24.9766845703125, Y : -57.15023422241211
X : 25.336881637573242, Y : -57.14728546142578
X : 25.68889045715332, Y : -57.14256286621094
X : 26.03338623046875, Y : -57.14086151123047
X : 26.36996078491211, Y : -57.14079284667969
X : 26.698322296142578, Y : -57.14094924926758
X : 27.01767349243164, Y : -57.14923095703125
X : 27.329607009887695, Y : -57.153324127197266
X : 27.643251419067383, Y : -57.16415786743164
X : 27.968280792236328, Y : -57.17899703979492
X : 28.30982780456543, Y : -57.18915557861328
X : 28.679718017578125, Y : -57.19685363769531
X : 29.086957931518555, Y : -57.20436477661133
X : 29.53056526184082, Y : -57.20311737060547
X : 29.99830436706543, Y : -57.19527053833008
X : 30.482648849487305, Y : -57.18920135498047
X : 30.980802536010742, Y : -57.18586730957031
X : 31.487409591674805, Y : -57.17825698852539
X : 31.993228912353516, Y : -57.16770553588867
X : 32.49657440185547, Y : -57.15555191040039
X : 33.010398864746094, Y : -57.14259719848633
X : 33.52313232421875, Y : -57.135101318359375
X : 34.03940963745117, Y : -57.13251495361328
X : 34.56062698364258, Y : -57.13307189941406
X : 35.081844329833984, Y : -57.135101318359375
X : 35.599708557128906, Y : -57.13221740722656
X : 36.1132926940918, Y : -57.12491226196289
X : 36.62363052368164, Y : -57.11343765258789
X : 37.13962936401367, Y : -57.09939956665039
X : 37.673973083496094, Y : -57.09012222290039
X : 38.239620208740234, Y : -57.08498764038086
X : 38.845298767089844, Y : -57.08108139038086
X : 39.496116638183594, Y : -57.08423614501953
X : 40.17082595825195, Y : -57.09628677368164
X : 40.85543441772461, Y : -57.10955047607422
X : 41.547401428222656, Y : -57.12101745605469
X : 42.247005462646484, Y : -57.131229400634766
X : 42.95246887207031, Y : -57.136566162109375
X : 43.65226364135742, Y : -57.13737487792969
X : 44.337364196777344, Y : -57.13412094116211
X : 45.00432205200195, Y : -57.128231048583984
X : 45.65158462524414, Y : -57.120052337646484
X : 46.277801513671875, Y : -57.120330810546875
X : 46.88264083862305, Y : -57.129032135009766
X : 47.46638870239258, Y : -57.135032653808594
X : 48.029457092285156, Y : -57.13426971435547
X : 48.57244873046875, Y : -57.12974548339844
X : 49.096038818359375, Y : -57.12411880493164
X : 49.60127639770508, Y : -57.11420822143555
