X : -31.0, Y : -57.69999694824219
X : -30.99305534362793, Y : -57.70008087158203
X : -30.87383270263672, Y : -57.70162582397461
X : -30.65770149230957, Y : -57.70439147949219
X : -30.379173278808594, Y : -57.70847702026367
X : -30.05335807800293, Y : -57.71173095703125
X : -29.693754196166992, Y : -57.71420669555664
X : -29.3065242767334, Y : -57.716732025146484
X : -28.896432876586914, Y : -57.71918487548828
X : -28.471513748168945, Y : -57.72066116333008
X : -28.03225326538086, Y : -57.72062301635742
X : -27.57953643798828, Y : -57.72003173828125
X : -27.11576271057129, Y : -57.718929290771484
X : -26.641027450561523, Y : -57.717811584472656
X : -26.151710510253906, Y : -57.71645736694336
X : -25.647733688354492, Y : -57.71501159667969
X : -24.64395523071289, Y : -57.71206283569336
X : -24.1435546875, Y : -57.710609436035156
X : -23.644954681396484, Y : -57.707664489746094
X : -23.15234375, Y : -57.70699691772461
X : -22.658754348754883, Y : -57.703304290771484
X : -22.159460067749023, Y : -57.69985580444336
X : -21.65669822692871, Y : -57.696834564208984
X : -21.154672622680664, Y : -57.69363784790039
X : -20.655338287353516, Y : -57.68949890136719
X : -20.156145095825195, Y : -57.68709182739258
X : -19.658111572265625, Y : -57.682884216308594
X : -19.160301208496094, Y : -57.67873764038086
X : -18.661109924316406, Y : -57.67467498779297
X : -18.159568786621094, Y : -57.67062759399414
X : -17.659391403198242, Y : -57.66655731201172
X : -17.159719467163086, Y : -57.66244888305664
X : -16.6600399017334, Y : -57.65805435180664
X : -16.161561965942383, Y : -57.65363311767578
X : -15.66680908203125, Y : -57.649208068847656
X : -15.175707817077637, Y : -57.64485549926758
X : -14.686729431152344, Y : -57.64045715332031
X : -14.196901321411133, Y : -57.63593673706055
X : -13.702777862548828, Y : -57.6312141418457
X : -13.204357147216797, Y : -57.62638473510742
X : -12.704607963562012, Y : -57.62153244018555
X : -12.207075119018555, Y : -57.61668395996094
X : -11.713458061218262, Y : -57.61183166503906
X : -11.22396469116211, Y : -57.6070442199707
X : -10.737187385559082, Y : -57.602317810058594
X : -10.250444412231445, Y : -57.5975341796875
X : -9.760618209838867, Y : -57.592689514160156
X : -9.266107559204102, Y : -57.58777618408203
X : -8.767058372497559, Y : -57.58274459838867
X : -8.26612663269043, Y : -57.57724380493164
X : -7.767076015472412, Y : -57.57144546508789
X : -7.269140243530273, Y : -57.565452575683594
X : -6.772310733795166, Y : -57.559349060058594
X : -6.276096820831299, Y : -57.5532112121582
X : -5.778975486755371, Y : -57.54702377319336
X : -5.279238700866699, Y : -57.54074478149414
X : -4.778881549835205, Y : -57.53439712524414
X : -4.279585838317871, Y : -57.52803421020508
X : -3.7802886962890625, Y : -57.52168655395508
X : -3.280931234359741, Y : -57.51525115966797
X : -2.781597137451172, Y : -57.50934982299805
X : -2.283191442489624, Y : -57.50376510620117
X : -1.785473108291626, Y : -57.49835205078125
X : -1.287886142730713, Y : -57.49293518066406
X : -0.7894823551177979, Y : -57.4874153137207
X : -0.2899828553199768, Y : -57.48189163208008
X : 0.210463747382164, Y : -57.47639465332031
X : 0.7099512815475464, Y : -57.47090530395508
X : 1.2083675861358643, Y : -57.4654426574707
X : 1.7041552066802979, Y : -57.46084213256836
X : 2.197782039642334, Y : -57.456844329833984
X : 2.6905951499938965, Y : -57.453182220458984
X : 3.185476541519165, Y : -57.44973373413086
X : 3.68379282951355, Y : -57.44667053222656
X : 4.184211730957031, Y : -57.44366455078125
X : 5.182057857513428, Y : -57.43785858154297
X : 5.182057857513428, Y : -57.43517303466797
X : 5.67798376083374, Y : -57.43517303466797
X : 6.17179012298584, Y : -57.43301010131836
X : 6.664522171020508, Y : -57.430721282958984
X : 7.158261775970459, Y : -57.42847442626953
X : 7.654367446899414, Y : -57.42629623413086
X : 8.15311336517334, Y : -57.42433547973633
X : 8.654061317443848, Y : -57.42256546020508
X : 9.153237342834473, Y : -57.42097854614258
X : 9.652749061584473, Y : -57.41964340209961
X : 10.150854110717773, Y : -57.418357849121094
X : 10.647079467773438, Y : -57.417152404785156
X : 11.142462730407715, Y : -57.41608810424805
X : 11.639719009399414, Y : -57.415061950683594
X : 12.140059471130371, Y : -57.41410446166992
X : 12.64102840423584, Y : -57.41346740722656
X : 13.139810562133789, Y : -57.41275405883789
X : 13.63998031616211, Y : -57.41220474243164
X : 14.139378547668457, Y : -57.41171646118164
X : 14.63908576965332, Y : -57.41128158569336
