epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.03931,1.72202,5.325,0.87152,0.00419,0.23333,0.00308,0.00175,1.88822,4.32977,0.86718,0.00020006,0.00020006,0.00020006
2,9.89232,1.92149,4.03621,0.88299,0.00578,0.36667,0.00508,0.00246,1.67671,4.31588,0.8623,0.000410307,0.000410307,0.000410307
3,15.0867,1.70936,3.14087,0.89768,0.00578,0.36667,0.00508,0.00246,1.90636,4.27068,0.88257,0.000616311,0.000616311,0.000616311
4,20.0381,1.54923,2.76588,0.91013,0.00578,0.36667,0.00508,0.00246,1.70529,4.08664,0.85572,0.00081807,0.00081807,0.00081807
5,25.084,1.59967,2.77666,0.88641,0.00238,0.22222,0.08643,0.02383,1.66796,3.70053,0.8282,0.00101558,0.00101558,0.00101558
6,30.208,1.52547,2.45303,0.88524,0.00217,0.18889,0.15654,0.06546,1.88927,3.71032,0.85635,0.00120886,0.00120886,0.00120886
7,35.2249,1.46496,2.18222,0.88156,0.00974,0.94444,0.52269,0.22862,1.53659,2.79558,0.81397,0.00134412,0.00134412,0.00134412
8,40.2347,1.53326,2.1756,0.86835,0.50108,0.45556,0.5495,0.23748,1.97019,2.41213,0.86035,0.00132997,0.00132997,0.00132997
9,45.1288,1.48677,1.90165,0.87999,0.34494,0.08889,0.58793,0.22308,1.82808,2.43404,0.83164,0.00131582,0.00131582,0.00131582
10,49.8453,1.3729,1.71779,0.88652,0.56461,0.48889,0.67233,0.30037,1.77514,1.76715,0.84942,0.00130168,0.00130168,0.00130168
11,54.8036,1.44978,1.69392,0.89147,0.71293,0.27931,0.49243,0.25795,1.90603,1.33793,0.86997,0.00128753,0.00128753,0.00128753
12,59.602,1.42827,1.62413,0.88027,0.80278,0.77778,0.89972,0.41851,1.59356,1.20346,0.8438,0.00127338,0.00127338,0.00127338
13,64.385,1.42194,1.61473,0.84907,0.92176,0.71044,0.85537,0.3708,1.61705,1.03676,0.84868,0.00125923,0.00125923,0.00125923
14,69.1279,1.41555,1.59611,0.84927,0.83436,0.8354,0.92564,0.46227,1.49336,0.94745,0.85634,0.00124509,0.00124509,0.00124509
15,73.9988,1.29921,1.35874,0.85028,0.75466,0.64978,0.78673,0.36731,2.0987,0.97507,0.93124,0.00123094,0.00123094,0.00123094
16,78.7316,1.38461,1.35826,0.88073,0.69822,0.94038,0.91025,0.4388,1.6699,1.02864,0.85881,0.00121679,0.00121679,0.00121679
17,83.3733,1.33674,1.39451,0.87315,0.69778,0.96667,0.8241,0.3207,1.98156,0.93046,0.91005,0.00120265,0.00120265,0.00120265
18,88.1217,1.32637,1.22374,0.86006,0.67954,0.79458,0.83834,0.4035,1.59188,0.91756,0.86116,0.0011885,0.0011885,0.0011885
19,92.8266,1.25763,1.21734,0.8686,0.9402,0.76579,0.88442,0.44164,1.43975,0.78052,0.84779,0.00117435,0.00117435,0.00117435
20,97.573,1.32403,1.3466,0.84246,0.93607,0.80813,0.95015,0.44021,1.45746,0.77629,0.84178,0.00116021,0.00116021,0.00116021
21,102.213,1.23939,1.09475,0.84618,0.80672,0.9304,0.89014,0.39855,1.63032,0.87678,0.83955,0.00114606,0.00114606,0.00114606
22,106.983,1.25908,1.10754,0.84962,0.78946,0.68889,0.84594,0.39079,1.74797,0.87889,0.85801,0.00113191,0.00113191,0.00113191
